ontology_gap_id	candidate_preferred_label_or_restricted_pointer	source_native_forms_or_restricted_pointers	language	semantic_class	definition_evidence	source_family_count	source_family_ids	effective_record_support	year_count	years	nearest_existing_concepts	reason_not_merged	review_requirement	canonical_ontology_modified
ontology-gap:b325e9b99a92c780862c14c8	hash:sha256:c371578fdc5ddc302a761f00d4542eaeaebf1364357c53f993b34744a76e1d81	hash-set:sha256:c371578fdc5ddc302a761f00d4542eaeaebf1364357c53f993b34744a76e1d81	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	109	8	2018|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:f5b90d6a86136d2541bea6e6	hash:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	hash-set:sha256:00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	105	16	2008|2009|2012|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:8356c35291247bdb64cd5e76	hash:sha256:a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	hash-set:sha256:a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	103	17	2008|2009|2010|2011|2012|2013|2014|2015|2017|2018|2019|2020|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:05f0033fa5680d7d5a6b8c80	hash:sha256:939cdab24ab8e2507ed87ced1fc8c119a04255d1767de1ab72c005300747df3b	hash-set:sha256:939cdab24ab8e2507ed87ced1fc8c119a04255d1767de1ab72c005300747df3b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	101	17	2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:3b74e574f74fd203ee278ce9	hash:sha256:06df90ccef78b5002bf5d2b2c5a9ab54c58ba70be98b839161928e8d76a0d478	hash-set:sha256:06df90ccef78b5002bf5d2b2c5a9ab54c58ba70be98b839161928e8d76a0d478	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	93	17	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:3705adce209d7a36d7a71b1a	hash:sha256:0a74f3353673c6f25d8e51548677f3db9791381ffc33efa40175333268ab63ee	hash-set:sha256:0a74f3353673c6f25d8e51548677f3db9791381ffc33efa40175333268ab63ee	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	89	12	2012|2014|2015|2017|2018|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:b5c75f9797a97cae5dd124a5	hash:sha256:70329b1c2fb2a364d806e0cca8471f8cff15c5a6eaf3a7416f94abc9ac6c96ac	hash-set:sha256:70329b1c2fb2a364d806e0cca8471f8cff15c5a6eaf3a7416f94abc9ac6c96ac	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	88	15	2008|2011|2013|2014|2015|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:185645ef7e40b8fb13af3941	hash:sha256:728a07126ea01d49ac050b9acca152451ae22ca6c3a67c800759ce50ffb7d68d	hash-set:sha256:728a07126ea01d49ac050b9acca152451ae22ca6c3a67c800759ce50ffb7d68d	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	87	15	2008|2012|2013|2014|2015|2016|2017|2018|2019|2020|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:993552764036d0ddae379b17	hash:sha256:a73860a05ec07cb9ce86d8022312d6e32e5048f44e33e3386cf1ce8a6dc4fe27	hash-set:sha256:a73860a05ec07cb9ce86d8022312d6e32e5048f44e33e3386cf1ce8a6dc4fe27	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	86	16	2009|2011|2012|2013|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:d81084dba35b1770b92cd219	hash:sha256:cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b	hash-set:sha256:cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	81	15	2009|2011|2012|2013|2014|2015|2017|2018|2019|2020|2021|2022|2023|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:d1a039b4e80e2fff2bdd7919	hash:sha256:d037e316bcc269c4768e68d70f1553c225c33c052810d83e84096f0168e8c31b	hash-set:sha256:d037e316bcc269c4768e68d70f1553c225c33c052810d83e84096f0168e8c31b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	77	12	2009|2015|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:9d40db912331f7f0d04c796e	hash:sha256:1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	hash-set:sha256:1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	75	10	2009|2012|2014|2015|2017|2019|2020|2021|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:0ee75896d9b6f5681008e18b	hash:sha256:545ce787c410276d227955b06ea5e6c1f3e3d611dc3f50594e556cce34b5ce4e	hash-set:sha256:545ce787c410276d227955b06ea5e6c1f3e3d611dc3f50594e556cce34b5ce4e	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.project_origin	72	16	2009|2010|2011|2012|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:bb3fa497c3be036124739dcc	hash:sha256:ba7ad46689f94dc14c1a456ce5a72bd83dffaed8e6e5f83823d32b6ffcc33354	hash-set:sha256:ba7ad46689f94dc14c1a456ce5a72bd83dffaed8e6e5f83823d32b6ffcc33354	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	69	10	2012|2015|2017|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:3151c6443e3a02baf5b00626	hash:sha256:3bbd81ca7735640cb5a7f837d52559d6ca22ec9b5892ef4c33da75ada9dad63c	hash-set:sha256:3bbd81ca7735640cb5a7f837d52559d6ca22ec9b5892ef4c33da75ada9dad63c	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.zenodo_golovinsky_q_grader_dataset	68	12	2009|2012|2013|2015|2017|2019|2020|2021|2022|2023|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:950aba492478ff901826ac48	hash:sha256:36b481152ba40f4eec67cb63e9f1ad785c164e0fcabda0d296ba956c64e0380f	hash-set:sha256:36b481152ba40f4eec67cb63e9f1ad785c164e0fcabda0d296ba956c64e0380f	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	65	18	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:7bcad8d149bcb6478edf3198	hash:sha256:0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	hash-set:sha256:0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	64	7	2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:968435b2f18ade12f85c770c	hash:sha256:2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	hash-set:sha256:2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.project_origin	62	7	2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:1ae46572b58d59704681640b	hash:sha256:10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	hash-set:sha256:10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	58	17	2008|2009|2010|2012|2013|2014|2015|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:83e987d13f91f6b4f3ca5099	hash:sha256:ccfbf54a16301979086b98938e44a69cf6b5126e4bcfc6c2afe1f6df27709c8a	hash-set:sha256:ccfbf54a16301979086b98938e44a69cf6b5126e4bcfc6c2afe1f6df27709c8a	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	58	12	2008|2009|2014|2017|2018|2019|2020|2021|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:c47511f8db5a20607ba0a136	hash:sha256:48fb71763d97b54b752aa17694977d1f87c7707415f25ab63ac2ea2495347ae6	hash-set:sha256:48fb71763d97b54b752aa17694977d1f87c7707415f25ab63ac2ea2495347ae6	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	57	8	2008|2015|2018|2019|2020|2021|2023|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:ccb1b262b1591223664b1d82	hash:sha256:315600a556a5376ebaeccc4aef26957fce167570b384a06e7b4a4ba7d617d7f3	hash-set:sha256:315600a556a5376ebaeccc4aef26957fce167570b384a06e7b4a4ba7d617d7f3	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	54	16	2009|2010|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
