pair_surface	source_family_id	record_count	pair_event_count	p50_pair_events_per_record	p90_pair_events_per_record	p95_pair_events_per_record	p99_pair_events_per_record	max_pair_events_generated_by_one_record	top_10_record_pair_event_share	top_1_percent_record_pair_event_share	maximum_duplicate_credit_per_record_per_pair	weighting_view
GOLD_RECORD_UNIQUE	family.zenodo_golovinsky_q_grader_dataset	112	35561	253	595	666	820	946	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
RIGHTS_NCMR_RECORD_UNIQUE	ALL_SOURCE_FAMILIES	228	37219	28	465	595	780	946	0.19576	0.068406	1	RECORD_NORMALIZED
RIGHTS_NCMR_RECORD_UNIQUE	family.frontiers_cenicafe_lengupa_trained_cuppers	21	181	10	15	28	28	28	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
RIGHTS_NCMR_RECORD_UNIQUE	family.frontiers_inera_robusta_q_grader_panel	95	1477	15	28	28	36	36	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
RIGHTS_NCMR_RECORD_UNIQUE	family.zenodo_golovinsky_q_grader_dataset	112	35561	253	595	666	820	946	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	ALL_SOURCE_FAMILIES	1200	41077	15	78	136	276	435	0.084549	0.099155	1	RECORD_NORMALIZED
MACHINE_GOVERNED_RECORD_UNIQUE	family.ace_cup_of_excellence	938	38789	21	91	171	300	435	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.coffee_board_of_india_fine_cup	7	0	0	0	0	0	0	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.frontiers_cenicafe_lengupa_trained_cuppers	15	10	0	3	3	3	3	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.frontiers_inera_robusta_q_grader_panel	95	138	1	3	3	3	3	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.project_origin	31	211	6	15	21	21	21	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.sheba_coffee_yemen_auction	2	1	0	1	1	1	1	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
MACHINE_GOVERNED_RECORD_UNIQUE	family.zenodo_golovinsky_q_grader_dataset	112	1928	10	45	55	78	78	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
JUDGE_OBSERVATION	ALL_SOURCE_FAMILIES	4	83002	15576	36315	36315	36315	36315	1.0	0.43752	1	RECORD_NORMALIZED
JUDGE_OBSERVATION	family.zenodo_golovinsky_q_grader_dataset	4	83002	15576	36315	36315	36315	36315	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
SAMPLE_CONSENSUS	ALL_SOURCE_FAMILIES	116	1658	15	28	28	28	36	0.173703	0.038601	1	RECORD_NORMALIZED
SAMPLE_CONSENSUS	family.frontiers_cenicafe_lengupa_trained_cuppers	21	181	10	15	28	28	28	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
SAMPLE_CONSENSUS	family.frontiers_inera_robusta_q_grader_panel	95	1477	15	28	28	36	36	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
