review_packet_rank	concept_cluster_id	source_native_form_ids	cleaned_form_ids	mapping_state	canonical_concept_ids	semantic_classes	assertion_support	effective_record_support	source_family_ids	year_ids	gold_assertion_count	review_reason	suggested_action_set	project_owner_decision	project_owner_canonical_concept_id	project_owner_reason	project_owner_reviewed_at	sensory_expert_decision	sensory_expert_evidence_locator
11	concept-cluster:428200dc97310a3af7140d6a	source-form:0d207d8a40bb2f19473d9426|source-form:b1123b42a6d1bb3e5e45c403	cleaned-form:b1123b42a6d1bb3e5e45c403	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	25	24	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.zenodo_golovinsky_q_grader_dataset	year.2011|year.2013|year.2016|year.2017|year.2018|year.2019|year.2024|year.2025|year.2026	12	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
12	concept-cluster:472e59051b05afead147ce06	source-form:16e2bbcdce487b30b20c7cf0|source-form:1ea34d1865ba0ed05840747c|source-form:3d6794d7fc3303bc318aa74c|source-form:3f7130f264bae613a44699b5|source-form:42617fa92547359e771779de|source-form:6ac28f91b0345fa7aef40588|source-form:779089b3f75751620b9e3521|source-form:80eb523dcffda4e6c4277724|source-form:9209526aaa61b0709dbb838e|source-form:b5c4658d41ed2cddf828d324|source-form:cf588b42a8cc77010b08dd97|source-form:ff1bd0fb334972fb0efe544a	cleaned-form:9209526aaa61b0709dbb838e	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	78	70	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2012|year.2013|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2022|year.2023|year.2024|year.2025|year.2026	7	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
13	concept-cluster:fff4e8ec42c9fca16e65d7ee	source-form:0a615c11899c1ca3cb523d1b|source-form:1051f0c0dd2cf39094a91c56|source-form:12fad53d7ead16e0de5e2f4e|source-form:26df959f1184aae3d2e810ff|source-form:41601fd7ff4acf5cb9d6df40|source-form:4fbfe3c5f70c83dbed62a8f2|source-form:6a33ff6b755b2d3437a4dc7e|source-form:7413798e296fdde67f075625|source-form:7c1b4eccdd1bffe54bd1346c|source-form:9f56a6aef276b7b5827f8a57|source-form:a21a9d9dbc5c100ca6f2901b|source-form:a3d65702d2933783b4ed27d8|source-form:b579d00d3939d52a938bd668|source-form:b5c4658d41ed2cddf828d324|source-form:cf588b42a8cc77010b08dd97|source-form:d11af3ef10acf1bd2fb8978c|source-form:da20d52a668af28a76fbd38e|source-form:e38870d88f5b72addde5a5f1|source-form:e7cd337b0f468cd5bcd4810a|source-form:eb775be89e22d158b2e5c1fa|source-form:eed660b02085fc66b81486af|source-form:f05e0f3540593097cad2ca32|source-form:f0e0199f0d13b77a9fc98718	cleaned-form:12fad53d7ead16e0de5e2f4e	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	484	420	family.ace_cup_of_excellence|family.frontiers_inera_robusta_q_grader_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	5	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
14	concept-cluster:357590a2af0dbde1d4dc5ab9	source-form:16483ee69d87406099474176|source-form:2fa1972bf792981d0e9e4d03|source-form:9f95912da92004b74cc7cb14|source-form:c4db46d9433c151527b33cd0	cleaned-form:16483ee69d87406099474176	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	23	23	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2011|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	4	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
15	concept-cluster:3a103fb0d4b6531b7f7e7dcc	source-form:2efa64f91736e51bfbcae85b|source-form:ae686418980ae22b02461c3c|source-form:d2e3dad7ad9809696a6d218f	cleaned-form:2efa64f91736e51bfbcae85b	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	26	26	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup	year.2008|year.2009|year.2010|year.2011|year.2014|year.2015|year.2017|year.2019|year.2020|year.2021|year.2024|year.2025|year.2026	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
16	concept-cluster:7d382c675acffc56cbab8eb4	source-form:58e989955f4b358feb6e4580|source-form:7e2b7f151534769755c4be39|source-form:9147156a2ec39b7c03fcbe90|source-form:a24c7f0aa27c1615e4fd5afb|source-form:b9570e8f91b26fb706343636|source-form:cec38a3cf93b81cb25b79905	cleaned-form:58e989955f4b358feb6e4580	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	32	32	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup	year.2010|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2024|year.2025	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
17	concept-cluster:bd8f345c5d709b8b9fd2a3bc	source-form:59f6e5238bd1dc9c68787f03|source-form:77dc2a655f8ea639869e6d7b|source-form:9ec75a9c0af0130676db45b6	cleaned-form:c06b0cfe0cc5e900c5778448	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	3	3	family.ace_cup_of_excellence	year.2017|year.2025	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
18	concept-cluster:a82cb8fb5745af4322c4acd9	source-form:0f151919b9ea8540476cb1e7|source-form:26138f2ac4b2c2bb71aee05f|source-form:33be1731e5a1fe7598d31ce6|source-form:4b383ae9188130c4acdbd9cc|source-form:4cb189665ff62a96d317a44d|source-form:4fff1d64058c259e3df1624f|source-form:545ce787c410276d227955b0|source-form:6815f3c300383519de8e4374|source-form:7019275bf53483f22cab4e0f|source-form:7d108ddb9255c7f990a9ec23|source-form:8290c583738717f6ceea216b|source-form:82d68a121058172ff532679a|source-form:832defad5e400860125df367|source-form:abe10a7b1ab725a978ccf7e8|source-form:b1123b42a6d1bb3e5e45c403|source-form:dcaecc3ba9958606018c05b3|source-form:dce34e094109d0c0e096b1c3|source-form:ea4b35e8f83279eab1e670e3	cleaned-form:e3b0c44298fc1c149afbf4c8	UNRESOLVED		SEMANTICALLY_UNRESOLVED	18	1	family.ace_cup_of_excellence	year.2009	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
19	concept-cluster:05a9641d70d85a03db2a3a15	source-form:b715bbab59100e93b0174122	cleaned-form:5a0e41ccb2772cccff26fa42	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
20	concept-cluster:27557535912d518f770d892c	source-form:726bb623c57513a41221710f	cleaned-form:726bb623c57513a41221710f	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2015	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
21	concept-cluster:3598b2fae89b1444fa26ac3d	source-form:6d0bedb6105e692e4ae8359d	cleaned-form:10842fff679060ab3915c875	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2009	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
22	concept-cluster:4bcbc53500cc076860afaf2b	source-form:093d15b9d760a3442584673e	cleaned-form:2c00bd7139741e9397a30207	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
23	concept-cluster:4e7401e94112e271fcdab670	source-form:15d260999cd570932da701f8	cleaned-form:c70d822534cb95fe96cf68a2	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
24	concept-cluster:5188081bda239ceaf49dd9f1	source-form:582daf0d53e765b000ce789a	cleaned-form:7fc890400474e68288c5d8ae	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2025	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
25	concept-cluster:6355b94732cb81bb9072577a	source-form:5d365db45d46c5b629e74d9e	cleaned-form:7ac0b9ec183e985315b48634	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2012	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
26	concept-cluster:698dcd90b017ce350793f2ef	source-form:b3ec952af69d9b3af6e1e08c	cleaned-form:2e63c31edfeaf87017984529	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2023	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
27	concept-cluster:6ceaa0a04ca99b162cbb0b93	source-form:1c98d37cbd431a9a6806af7e	cleaned-form:e0313fa19edb2bcf24c0b71e	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
28	concept-cluster:88c55c2ec933a0fc28438c64	source-form:9b86cb20e24453c3ce96ac91	cleaned-form:9b86cb20e24453c3ce96ac91	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2013	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
29	concept-cluster:8a573f8b39afc9a89424affd	source-form:71c48609af09fce3decd6075	cleaned-form:9eaf6fc182f580bb92ef4119	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
30	concept-cluster:92fe7e04f66a24eb72edca24	source-form:92de9f747e9f3bf75d7db787	cleaned-form:812fcafc24939e03d69aeb26	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.sheba_coffee_yemen_auction	year.2021	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
31	concept-cluster:a9dee9277c67f0f0bc76ff69	source-form:152c6d202538f6fa313c876a	cleaned-form:ab5b3f691856668319f637a2	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
32	concept-cluster:acc618b91f3c8d470a359d31	source-form:58a5cacf9334a25a1dfb53ac	cleaned-form:a7435aab53c56746ffe28f6d	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
33	concept-cluster:b6e47a7e21fac5253a44f230	source-form:3ea8856029834466ccb5e568	cleaned-form:3ea8856029834466ccb5e568	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2014	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
34	concept-cluster:cfb4e69f70bc3e6748d75dae	source-form:01842e72f4c95161aca08ff6	cleaned-form:2495a70ff4809be441c2a655	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2025	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
35	concept-cluster:e0cabd0b05bfdb14eaad4e60	source-form:9fe1f88752ef80c746ed2132	cleaned-form:df687c6f0d041f0e53110e8b	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2025	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
36	concept-cluster:ebd2174eb27e72757578515c	source-form:c69d87287d8106508044e8c0	cleaned-form:c69d87287d8106508044e8c0	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.coffee_board_of_india_fine_cup	year.2019	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
37	concept-cluster:fab86e88aca1cf3fb27f1598	source-form:51d7bb7d462867667538370d	cleaned-form:38eb62df5e25ff52d5e9fac2	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
38	concept-cluster:fae10a6d9237831e95b220e0	source-form:88580927f79d9afee01356f2	cleaned-form:9830bf7e9013db6611b82c9b	UNRESOLVED		SEMANTICALLY_UNRESOLVED	1	1	family.ace_cup_of_excellence	year.2024	0	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
