language_occurrence_key	language_document_key	language_expression_key	raw_source_phrase	source_locator	observed_value
language.occurrence.firstbloom.sha256_9928f7c78ff6fe3a7406f33d9c0e63f8590b6d1381649607a619c19d9dd27c1b	document.firstbloom.release_1074	language.expression.en.sha256_3f26d49b3b62592610854a68b98f479c4668864142b06e1d51064813f3ba5fef	golden raisins and tangerine	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_1c905079bc078a85226ad4f80daa051731c7d201fac8325ec2ea58ef481fe929	document.firstbloom.release_1088	language.expression.en.sha256_4ddc79be94adefea225c698975e0127e36718288134f4996cf54a4bf35ea94dc	blueberry and milk chocolate	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6de52fb46af2c301b406d58e33e037b40aa1963bd3444f21164382b3f5ec0888	document.firstbloom.release_1090	language.expression.en.sha256_937d2751bf06c30804e963dcf10f32d8abfc2308e56bdc18fcc67c4cd81f813f	maracuyá	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_c5c6c12e3bdfba3c5899cad73e2bf8cd4514b6599cdf7bd214d680ef8e526b40	document.firstbloom.release_1105	language.expression.en.sha256_1775394326e02c60a58c4f8d7524e070a77973673beeaebc63067db2b8de7a70	choco-orange & well balanced	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_99652c55afc272bb51c8c44eadbc46743b13f6ee5d4b48464bd4ce587e2e7779	document.firstbloom.release_1109	language.expression.en.sha256_7b8a40792464611d7bda1fb0b7788dea190aed21a30279091210f59d295b4531	Delicate red fruits	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_c841e6049c6fe01fdd7ad0d33d8649b1b79adb777da200de8a5a0d13203d7d7c	document.firstbloom.release_1109	language.expression.en.sha256_f8ba2a0a827bd28c941ebe9d0d45b59449b4b9b0c042c566059f5abc782d19c5	green apple and chocolate	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_816ff2a981247015d51819e8c8b59c3c35cbc83f294080c6d97998473d245de6	document.firstbloom.release_112	language.expression.en.sha256_5183f2897230ab6f13076a62766ade9a75ad19b5f6329b05ecccfb5c6d57f382	Almond cookie	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9e5073d2c5ccbf7cf011dedcb63a334bf4fd72e9e865930143b2d7cb1052564d	document.firstbloom.release_1126	language.expression.en.sha256_72d6bec33ccc1f21a52c5017fa17884229732e0510065a2ee6ece4519cd1cfe0	baked fruit	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_48aae6b2a6658dd5b6cfb2ac3b417e7489550864977b46f8bb4b78ddf5c8e81b	document.firstbloom.release_113	language.expression.en.sha256_e0550f209134e6202f5ffaa7733a9aa0bb20c1f25d106559b16290b685fa07ba	jasmin	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6578bb817aaa1df323a8bfc102d1be10f3e25fe32b18c6573b9571169722384a	document.firstbloom.release_1139	language.expression.en.sha256_c4d782c977ff4a75f767f8f2185f9aba9d1bdcfe95338fb80b185f50f4a9f618	peach and floral	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_2e930fca41d1fdeb57bb202dd927d0decb43f22d4483d32b02208bb3cdd1c5a6	document.firstbloom.release_1141	language.expression.en.sha256_e42ab44b771278d861e948a71c6070dcdfda32b305a8b2ac09868c5f5da6f882	Orange and Plum	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_0908a29566244254f7a416f0d41fa0f1c80e745dad9cffefbbb35614c0dbc99f	document.firstbloom.release_1143	language.expression.en.sha256_087b6b0ab2d226eac6116cd93c1134910b4ca0eb54f2f1fbbcddf5f9ebb15336	Blueberry and Floral	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_054f99609f286689574a9fda4979d175a632902d3b5da25c7d8556a677bb76a3	document.firstbloom.release_1145	language.expression.en.sha256_bfe9807cc15219ea8610c573259678b342b612bd8e6518f21c60056052364023	Raisin and Passionfruit	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9738afb5742a5823b04efed48eacceb10e2fe8ef4f638bb3db40420438a71fc4	document.firstbloom.release_1147	language.expression.en.sha256_6b73e42622dfcc0e86017c742bbef125e51068af96798ecc7773f99f54ac2a0e	Caramel and White Chocolate	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_85bbda87d539713f4cc01d86b100edfce8ca4141fd6bc4f1512ccef242305a0b	document.firstbloom.release_115	language.expression.en.sha256_73d9f51aaef1862b495cc17cfaaa96ce5ee82d12065b5fb366cacd83a7ca19a1	fresh cherry	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_60e579e127a1ce3dc4911ee4898ca6af8a33af881aaaf732bec134f48de48472	document.firstbloom.release_1150	language.expression.en.sha256_6d16fc0aa74fae6e543919491a1fcc5062c8989de5dbe715c5890da6eb25b837	Stewed Apple	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_5cf98ff6b6854927cb40538e730172f76b01d17edc6b916c0ceb6cb10987d858	document.firstbloom.release_1150	language.expression.en.sha256_845ac5398216bf8add7655d3cfc0eb20d3e41f86133e831a4db78b9849fd4d87	Cinnamon and Caramel	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4de54c0579e6e8c69bc58f075b5ca258e9c54eff4dbcc2f558c53549ee8caea0	document.firstbloom.release_1157	language.expression.en.sha256_5260f8d90921dd4a69882a7091aca0e015898314b71b202b35fc2df8281b3cce	Candied walnut	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_20603bd97e40562e371d1fa67bd0e05e56aa6d8a8c8def23a5bf16fdf4a3d143	document.firstbloom.release_1161	language.expression.en.sha256_17ac6685c2eb00e12fe8dadc93fae437559d23f314e5e758545a704094ac10c3	dried date	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_b14aee53c8c1c8c1ab05d7b829baf49559a023c093b27dab0008443f34fbbe2e	document.firstbloom.release_1168	language.expression.en.sha256_b9dc35a9e15e8dc39264d1b72a227ac196bb06facdcd99a128685e075e92feec	Red current and Green Tea	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3b3a5925fe3641191a57e1538dd068b75e15bd459d22ac21462f356fdb573b64	document.firstbloom.release_117	language.expression.en.sha256_1ce2bfed910ab7c5ccc59dd6e4db6b0c55115947dd3ac041aa1b8aac05493132	salted butter caramel	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_cf396967cade08f7b1a64fa691e26893667da11b4127f4e0f2f5796d308fd38e	document.firstbloom.release_1177	language.expression.en.sha256_0c3ba6c2e1019d229434e7d295c04ec85536fd699a8bc207f25acc62475be79e	FRUIT CAKE	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_909b503acbd9957dfc29a7376833f196a140615346741f27d35b09bfe4ee0759	document.firstbloom.release_118	language.expression.en.sha256_60827b41e46cd19a4041f8d032fd96e8ed791cb6e94c97a2369a7f53b223eac4	wild berry	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_1f5516d98b80d856506985b9db22815bdc8866d37ba3f8da8df5841375c00af0	document.firstbloom.release_1190	language.expression.en.sha256_e40efc1e8b5aa13d08aa1da73c8dd6d85088eb5b2cdf71968cef17d386403c38	Blueberry Strawberry	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_84c6531f16ea8ca1ed91a817e8b85412ac2bf1d93725f3f353d6c50cd9ec77a5	document.firstbloom.release_1190	language.expression.en.sha256_a4cf5e703ea05d936c9ce640e30f76595eb6d9837db27bea18510f16d55884c7	Soda	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_84ce3fa211af16a96004edaf4188828f94e5cb79e21e73ce9bc93a7b6c85731d	document.firstbloom.release_1195	language.expression.en.sha256_1f0eced289629de905e9447f48b3de97be056256d7740c2f96e30a2204102ff3	Fresh Blackberries	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_0989e9e07c3990f64806180a7b6ae0e98a40cc9da339ce1a717f7a68b245ab73	document.firstbloom.release_1195	language.expression.en.sha256_15ee549cb2ab598f6ff06194d10926260e4f47e7fc5ee15b9eec26ebe0df8c8c	Floral Honey and Lychee	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9cb7f48f17afe084d7ad05ece9ddc233b4a27198f139d9328ee2550d343cc290	document.firstbloom.release_1196	language.expression.en.sha256_5441e7ad7c0baea4e81239e59ed1086a471f395479f2070d614c02b5f6d4fbec	Panela and Gala Apple	tasting_note.fragment.004.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d99ae6f9beb60340c694e02f07902213756fb1ce12b4c58543305ab298fd19ed	document.firstbloom.release_1198	language.expression.en.sha256_ba5c94fa07de30bfa2d72780b991944754e95f5432014e94cb29f628e08e0d2d	Raspberry Sweet Tea	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_feb872789ced9bdcd6de6b78a12e070cce1265ca909a46f2251c9de7b1fdcbe1	document.firstbloom.release_1198	language.expression.en.sha256_5fe5aeb06a711dcebd3d4c680d1a57092a410d10087a24f6bd1f0d500ddda179	Cocoa and Silky	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f7a7952e17c9df92149a38121928710d47462cb633a6a706819349ced50f9125	document.firstbloom.release_1199	language.expression.en.sha256_4c3cb0778bd186ba3d8adfadaaca013cb43e68690e12bcc12f89ef5d53455f6e	Brown Sugar and Assam	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6fcb4078001cdc5d0db5fd950aa9d440cfd0b6f48fb188cabc20aba6f89b9ad0	document.firstbloom.release_1200	language.expression.en.sha256_1f3e4202fccec9eff48227019527ae2dbae04ede500d3b715181fea58b90641d	Raisin and Juicy	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_8907bb22f6af512b56ebbad38dbfad4afb0022ed4a0588252933754cc449cb6a	document.firstbloom.release_1203	language.expression.en.sha256_462ef7fe05667c40760c765d878bd48b104dba152ebafb922911bcb7b6a98881	Chestnuts	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_a743de252e73ba871053ecad0d4cfc32fb6a143cf4e613a7bab40ae964d17ed4	document.firstbloom.release_1205	language.expression.en.sha256_3b9527489fc600c84873958da8afdb8f64e7a7ec5dacaebcb01415a6b62e7e52	Caramel and Citrus Candy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_30785c4ac8a688e9db9d63508f0fcc534edc61e5308b162223ed5c3fef7dbcd7	document.firstbloom.release_1208	language.expression.en.sha256_ccaf3b8169c303fe068eff71671579ad2c25f93efda1a619c473ef3ddd49497b	Juicy Apple	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f6359da15aaf5856dd17da408a6b88205f5494cc6f67bdfb5c8aa1a1015227c8	document.firstbloom.release_1208	language.expression.en.sha256_83c14c0e6624adb166f1ebe66afe023811b126a4c71f59590c6a9b1debeabf91	Sweet Caramel and Milk Chocolate	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_b5cec3c6ec371cfd2069bd29c4f3338710608ca152085e9290f57e89027e7a39	document.firstbloom.release_1210	language.expression.en.sha256_0cf973fcb634c8e2ff844d746c35e623cf3e8bbadbf1f0afb72f9202c2b98d3f	icing sugar	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4d36cd33579732b9b3fec0217934d1ba2f9158d26ba1d8c61d8a6f5d42d86698	document.firstbloom.release_1219	language.expression.en.sha256_a4d9274c92988aa5808831713d8482569052f3ab82fc893dfdfc7946467aa8cd	canoli	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_eb1f0112ae1a6bfc72c089b7b8962ee702bce2e2d158f8eddb66c8b51d3a9e55	document.firstbloom.release_1221	language.expression.en.sha256_6f48cc72f32177b24683ce624883e48c9ffc856eaf8a2140f093330f2dd9b57b	violette	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d261cab4f91b9e7c278a49679cb81373438b777c66c40adafa6a5f3af22470ab	document.firstbloom.release_1222	language.expression.en.sha256_0cf973fcb634c8e2ff844d746c35e623cf3e8bbadbf1f0afb72f9202c2b98d3f	icing sugar	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_0f4db5f107283a9825f0b04546762b8e76c5ebcada14fddae3c39d4231556946	document.firstbloom.release_1225	language.expression.en.sha256_697571e4c85e70f9cd8481a6b93f3ced1e8501cef352bc2155fc4b8a2fab6490	Pour over tasting notes: Milk chocolate initial	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_375adbf58e8dac91555be6989c6e2ce69ecb4e3a00fed30e13490479b006927f	document.firstbloom.release_1225	language.expression.en.sha256_04c5d15f41dbf168c0595d3282e1372eb08cd2e01ec9a70e5a8f54a9160f9985	peanut butter milk chocolate finish	tasting_note.fragment.005.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_18261a83e0b0074741d2afc8eb625635e81018ade634f41cc7110e3752d4375d	document.firstbloom.release_1226	language.expression.en.sha256_2afb77103af9ac69fd1a230d8636a377b1ca952dfdf89a445337d9bcc170e52f	Pour over tasting notes: Berries aroma	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6a6eff4813ba405ca38b2b7ad55bc93c8f4ba1ffe30905a170aa4109dfe29fc3	document.firstbloom.release_1226	language.expression.en.sha256_59e22488b263254486fa6b78f6ce06511f6b14280b183b36eab7acc7d9c68f38	black berry initial notes	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_db0793126666e93a74383788e39e6bea74218bcfd74062f0c36605a3132bf085	document.firstbloom.release_1226	language.expression.en.sha256_353638293bc7074c39c8af95d5c127093a1ee8f1ff34862eeb2b28d701862c2e	grape juice	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6e7488938576dff3f9b0efd5ebdb0512945b499bdc253f3da3cbf18a90565cb9	document.firstbloom.release_1226	language.expression.en.sha256_510c83f5113a750681dda2228bc03a3e88393b2d2a6e8ca4f2ba583fcef08d12	Espresso Tasting Notes: Bright black berries	tasting_note.fragment.005.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_a6008b1a5e3667e752ffa6d1981013ad4063d68707dca0f97f88ca38dff85f35	document.firstbloom.release_1236	language.expression.en.sha256_09e20b517cdac939b1e679946a6fbdcc820312f49c41cfd1c25797e3f7c26dc7	Butterscotch and Creamy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_16646835bcaddb8538cead48a58838f10b022d3044a9dd71452521730e973eb6	document.firstbloom.release_1238	language.expression.en.sha256_985c2e58519773240e2c715f2f2d3091fc02280c11b8ca4f3555e0e997de7a0e	Chocolate Almond	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_30c2f5412320b733b00ebd485fabe580ab15c64e3c80ea78db8205ed41e0ae18	document.firstbloom.release_1239	language.expression.en.sha256_4a8c5c8c02eaa9a8cff01c69051d95b25bce12524925be13a69b1bcf7bf055bb	Rose Tea	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_ae684326eb8ba21cf98cc46e20adac1fb74af728f98356f315b92b25109d001c	document.firstbloom.release_1245	language.expression.en.sha256_d3589d325c827188051b4cd91fecb1af9533a44e5d489fc584560815bdd9eb2c	Manuka Honey	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_8bbe8b9de4bf7d03f7d5b72c470af85ca2ef9fcb8cfa5c2ad1a67dd1f27b57d7	document.firstbloom.release_1245	language.expression.en.sha256_528425e595523c732a6e5d2a914909bd7a2fa37450213272f2381787e42ede82	Peach Nectar and Lemon Lime	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_be10110e5fdb769ede3eb8dd03ded819e9e438af9238e48ed401b352afbe7688	document.firstbloom.release_1247	language.expression.en.sha256_8e592dfcb289ac5f9f2401a597d501c810aef4bf12a64fd1b27b6b5c67fe95bc	Cranberries and Nougat	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_03c6129d2fef9f581f661a15cad7c7868a1fc8cc049da8732bf1d71bc818459d	document.firstbloom.release_1248	language.expression.en.sha256_86218595261bfa1bf9f235cf9e81766e8b2aa44ab8d09c77e37d399c42583eb7	Bartlett Pear	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f9daaa529d0d1911ebcd0c37a9b83415cd0a6875e12fee622f4313215b713c61	document.firstbloom.release_1248	language.expression.en.sha256_eb7deda5eb10d13b5890537ccf44046f9b34850fb080c564990b7ac79baa74af	Ruby Red Grapefruit and Ginger Molasses	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_e68f3a401b2fbb6d74ff908f42f92cb9cabc8e13f553ea02400488374c3ea813	document.firstbloom.release_1250	language.expression.en.sha256_ab7e8f3176ca82b2794551c33fb93cfed650bb1114318f90d9a147664bac97c2	wildflower	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_ccf49730a4c8704c6ff48c1cb38f24cf709941eb5fb13d7169adde487d072966	document.firstbloom.release_1259	language.expression.en.sha256_4cea44efeb33438ea704bbb8c592a4fee1fc5f4cb283fab444584197dfe5fbfb	bergamot + black tea	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d00f96216c803602171b26c287460de7f2bcf4f562c63e2c73c98a31711189f2	document.firstbloom.release_1260	language.expression.en.sha256_52321a825f938e8948961b303cda1c207d4c575431179c9aa6f9c6d6a7db3e14	fig + cocoa	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_631066ac899159d40b777eb36f65e819ca407ebb3027151c012023f9ccde2fae	document.firstbloom.release_1261	language.expression.en.sha256_f83cf898a5c8a7a2f27e84ccc5a29fbde2754242fc0c4f0a5d344a41750d74e7	lemon + honey	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d1c56f144abe2e35aac9b2f6c41521500b4bba4d3f834fa37cd8e186ae10a4c1	document.firstbloom.release_1262	language.expression.en.sha256_916bb2873fb21e9c32189254c3908acd5d59771b968dcdf5f25bb2df49ad2c32	raspberry + candied lemon	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_7433b7317a9baa42ee46ab79105542b4534a7f40b85006d467b88754bc28140c	document.firstbloom.release_1263	language.expression.en.sha256_d3da8626d45e54aadaa7e84c9febb95e04446cf7a623e03cc17fb5c0b3a2eb4f	Peanut brittle	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_bc2a2d9c4ad0c0994817b10446476cd2f6358a063bcda4def0e28791bfc3beb4	document.firstbloom.release_1263	language.expression.en.sha256_17a5ad424476ff9311acd6e31e2efcbdbda71a22180ffdb27a072f466fdb2348	tangerine + caramel	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_99df67383a27947401bfea59ae9912e55874353178f0d043d3ebcf736900f044	document.firstbloom.release_1267	language.expression.en.sha256_762f17485f3aa5e72a89fab9bf586d0021ca5d5a7a8005cc48e47555fa25eed8	complex + balanced	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
