language_expression_key	language_code	representative_source_phrase	normalized_expression	expression_role	source_authored	machine_translated	artificial_variant	review_state	counts_toward_governed_total	counts_as_zh_hans_sensory_expression	public_export_allowed	limitation
language.expression.en.sha256_02979a67c5cb594c7711fe7cfc7cc6f242cc0589c0cc5b302c10aa1b591faa78	en	Guava and Strawberry	guava and strawberry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_02b2dedc9bf400171b9a8fade1e6cd7cdaa8ba6eeddaf42b1a4658218f624c4e	en	black grape	black grape	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_039593ca2213a3a945122952a0eb7c6adc529e90306cadf334d77c9e73edb293	en	BLEUETS	bleuets	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_039c8a098ec2f80deb6d2dbbb9c5b9105c2b045b0041830f154023249ae868ec	en	stewed pear and toffee	stewed pear and toffee	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_03d92f41d72bcf00dd8b223560ff5900cb1839373d0fc643b86cae8ecd4e128f	en	dark toffee	dark toffee	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_04416cbe198f8e9dc58938f0f7c2d85a4aa1dc8c355881ecb7bb4fb869f1a947	en	Cacao and Honey	cacao and honey	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_044f34f8d3d6d3fdc4e8f44172731d38d13c489de56c940fef3a9b129b063bf0	en	pineapple juice	pineapple juice	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_04b78225feaacf931f22ec5bfe6156098566cdeac911bd4cc9c7f4817a471c1d	en	red grape and black tea	red grape and black tea	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_04c5d15f41dbf168c0595d3282e1372eb08cd2e01ec9a70e5a8f54a9160f9985	en	peanut butter milk chocolate finish	peanut butter milk chocolate finish	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_04dc445864e8cd56f7c7739b625b77a3889847ca59b6fb38b436f76cc5de459f	en	Nectarines	nectarines	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_04f1cc9ff34f24000eb57c6607668b0122a01265a69c873b37ab2d6210e12215	en	Cooked Berries	cooked berries	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0634b00f6213d5e1209cd862cb83303157945994b67d6869de81c2da99aee190	en	black tea and strawberry jam	black tea and strawberry jam	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_068f6e55134d4809e410343c1967c7eae0abf3e1251bf4887c1c9a0588aaf8c0	en	Dried Cherry and Baker's Chocolate	dried cherry and baker's chocolate	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_06c0983399e55c7c4218704751aa0eb447f3a0d5922971eaa0ab8da30a846284	en	Berry Compote	berry compote	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0751827468cd4b24a7340f59e1ce9431df2367b97277ae717a1b249261d7d977	en	Berry Jam & Birthday Cake	berry jam & birthday cake	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_07a407c6cad8de1afc2853f72ea581ac3d66ab97168aa9a19e2e4eac0ced5991	en	Chocolate cake	chocolate cake	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0843a52cdc9eec1d74b47823e2c55e0d5c17e4060edb45ac4ad4e8618e303189	en	Expect an intensely sweet coffee	expect an intensely sweet coffee	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_087b6b0ab2d226eac6116cd93c1134910b4ca0eb54f2f1fbbcddf5f9ebb15336	en	Blueberry and Floral	blueberry and floral	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_08a82689915e88d615cb3d450a4d78aa243dffc0d9635add056fe5b2f20c11de	en	Molasses and Chocolate	molasses and chocolate	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_08fc63f738ee5d55e887079b3030f71e2dac64ccb124668316ec0c7b8344754b	en	rowan berry	rowan berry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_09009096fc76361fdb21edb819cc916cb029497d3db9c10ed73cbd5aaf010a5a	en	strawberries & floral	strawberries & floral	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0902e0e0127e76114e526f0e0741881d6fbcbca7fc749f2a2b1d8214fd91b00b	en	grape and cocoa	grape and cocoa	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_091c4a8f5adbb701bbe31847fa9611665d02e8c23743c5130ab0895aecc17527	en	malty sweet and brown sugar	malty sweet and brown sugar	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0931055aa6b95202c0054405ac712297aa20b1c62ccbfa8f4770be423e7d9e66	en	Caramel and Black Tea	caramel and black tea	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_098a45810711fba708859d4b14fb6367f605e2bf8b6be73240ebd8aed36a25a1	en	Satsuma	satsuma	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_09e20b517cdac939b1e679946a6fbdcc820312f49c41cfd1c25797e3f7c26dc7	en	Butterscotch and Creamy	butterscotch and creamy	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_09f2e1528f33e3fed5f0530143d967bedfd4c2b30539cc5a2d1644b0b08271c3	en	Vanilla and Rose	vanilla and rose	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0a16d3848854063b74ea1db18d5a4b6dd769e1370144f037a80485f164413615	en	Red Apple and Cocoa	red apple and cocoa	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	en	Citrus Fruit	citrus fruit	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0aca06a6aaa9735fcd11ee3f9714cc11f7ba8f03239efcb4ff0dc9f76bd3cff2	en	maraschino	maraschino	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0afba1fadf4e5d1292eb409cc965170fca343fbdfea7c6cfb26de8d1909cb229	en	candy-like	candy-like	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0b2c2de8dd15385f75ce0574b239e136ffcf36ff475d1db10a4fa878ae9ea3a4	en	strawberries & citrus	strawberries & citrus	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0b671abe613b4e477efc262b4fe4754e33f814c3b8992231257de87153a56e7f	en	Redcurrant and Honey	redcurrant and honey	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0bd998672b54bb6b8e2fc6fb8fc92617256e8e71b97511b2bd7116e95becddf1	en	Strawberry Peach Drops	strawberry peach drops	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0c3ba6c2e1019d229434e7d295c04ec85536fd699a8bc207f25acc62475be79e	en	FRUIT CAKE	fruit cake	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0c6193e11c89c15a1715161c094efa47adfc6585cd66021968336d5b4d4fc321	en	Mesquite	mesquite	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0c6963f96d5930a8fcda406748522fd96ec4fc09492ca3c8e4d2af7dead30b25	en	sugar cane aromas	sugar cane aromas	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0c8c9ddb7a3cf27026a02df2abeb2e2cf083b5030363a65b41f427907a6dec65	en	Citrus and Baking Spices	citrus and baking spices	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0caae33dd14921ccfb3f5e853f477085ce70d82d18139dd916247ef406f12767	en	This coffee tastes like wild strawberries	this coffee tastes like wild strawberries	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0cb4aebc5f1dbbf8c3eafb34006fbc511aaf81afaff7156b8c2d3e1867b8020c	en	Fruit Punch	fruit punch	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0ce0e14d5c0bf470a467285ddac6bca373298d6eadc50a87007500eb3354db7c	en	Minneola Orange	minneola orange	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0ce3a1dd20623c990e48ea1830170409529187a118d05e47dcdafcbe42dc486d	en	sherbet	sherbet	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0cec79f788d6dcdb8c08db81eb938673fd67d9398aec8475b36905c471e96cd2	en	Cherry and Blueberry	cherry and blueberry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0cf973fcb634c8e2ff844d746c35e623cf3e8bbadbf1f0afb72f9202c2b98d3f	en	icing sugar	icing sugar	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0db77d0be564ebe280d60302e1506d359bdd59d98e3d3512e2bd66ff6476745a	en	strong notes of lemongrass	strong notes of lemongrass	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0dcbd4ef68504a43d7b119e8c9d52879700eae739ee4afb04c59fb150f79844a	en	Gewurztraminer	gewurztraminer	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0dce054241e1b14c9ebaa87f8f366cb723601c52f81794385bd2cc4f189c7b58	en	figgy pudding and vanilla	figgy pudding and vanilla	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0e1267eb579d22d6c493eedfb53aefc0f942b0153769854c35a651037c198f59	en	grilled orange	grilled orange	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0e32748725cd66befbb7c8e371a7128379658908adb29c289e7786bfe7639245	en	Peach and Rose Water	peach and rose water	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0e4cab8f4b5bd625097ee6206cf5f2e025b9971355152e199e768e759fa37c4f	en	myrtille	myrtille	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0e8923348362275e0175120c8449b3d9c039cc58aad8a9ac1921350d0902694b	en	melon + sweet	melon + sweet	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0ec087d18a3d9b4c8add857a72953b68f2d7d87df6b30f9890ba15efc2819748	en	Butter caramel	butter caramel	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0f2b6d567b39befcd257c34d967d9b777d1cbeda1539d9c5fa3d337b675c273a	en	Sugary plum	sugary plum	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0f6256bd001e613b11ba307e749cd93b0235df32463ee6eabe7c2cff538bba38	en	Molasses and Cherry	molasses and cherry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0fbaf608b57c2d47da8689d0c73d2999023f627d508c89f54934a3efb33b40a9	en	Red Plum and Juicy	red plum and juicy	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1009d3923fee3d45e79e8073d300cf01917d4e397679a7f93a4764849b76c489	en	soft acidity + medium body	soft acidity + medium body	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_100ce0619dbec6d89ed79278a9ea9a1cabbab3845484cfe37f3116784a0f23fa	en	White Grape and White Wine	white grape and white wine	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_100e905a6d23ef7ad2fb6b74c61a536692e7d8cc56ecc4c93086c3e6f329acb0	en	Fruity and Vibrant	fruity and vibrant	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_10392103f95f4308388cae728ed23f6b0c407261d8d37c554aca895539a87a5a	en	wafer cookie	wafer cookie	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_104c885ff67f6a4bdf1b97bbf0d885260618c527b9aa9f7ee8c5a3beb524110b	en	Vanilla and Macadamia Nut	vanilla and macadamia nut	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_105d86d1f63ee2df66c2f90883ddc2dacf5a5abbe50294de6fdc318b551b5385	en	Lemon-Lime Soda	lemon-lime soda	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_107447f53c49ae79400608ba94024043d208a0d3d5d1fda094d46ffe361c2293	en	and Starfruit	and starfruit	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_10835bfde689867e604bdb6c61c2f026459fa959f08c33c0526121b922bf5f70	en	chocolate biscotti	chocolate biscotti	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_11211c239a27bc0ad1c3b36276ba276e8d6d553ac6870d6a8294ec73677874a8	en	Smooth and sweet	smooth and sweet	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1152a334a0dd1926bf9549214f4c562bb1689adb85546641a083e657b869511f	en	Sweet plum	sweet plum	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1160e54bc943d616b2445c97dd4f510d118de02e6a2ed542daf1555c55d2e4b7	en	Brown Sugar and Pie Crust	brown sugar and pie crust	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_119c01b84ad6906f9057d21510c5a243e68f3d86847a61bcc04131851d9bcc31	en	Cherry and Brown Butter	cherry and brown butter	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_11be7d4656e98adaa16e770f9a7bf9640026b2df7dd3772a650b0ece1b1c5fa9	en	tasting notes:  ORANGE - FIG JAM - BUTTERSCOTCH	tasting notes: orange - fig jam - butterscotch	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_11d14bb755e1c3153be4ebc6b7ee556540fc616be753af9066a48bba3c7080d5	en	Maple Fudge	maple fudge	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_11d5e03f062468bc2c06d1ecfdcc6093e90f5067e7f3ebeecb24677291cc17d5	en	and good old cola	and good old cola	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_121860d8b55fed3bec76ee361061dc03f32eee2aa5df9e7c9f2c375b8bae2b6a	en	Acacia honey	acacia honey	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1257878a4a9ed8fb67a70e11c24790c6a077701cb072de169406a216938acdab	en	Orange squash	orange squash	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1266c54628a4993931c4c27317b6d5e569ee4aab39236182e160a3fdfed05dd5	en	Milk Chocolate and Lemonade	milk chocolate and lemonade	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_129d07b8c69691020f7f54b432f8f1f68e9c1329688f5d92bf1ab730473ba3ab	en	Cherry liqueur	cherry liqueur	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_12a3b4dec46b25a80f7cd52184cff3b46217a63254945ae1cf7405d35c6db8cc	en	orange blossom and pink lemonade	orange blossom and pink lemonade	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_12f8cbef355ffd857c5c258e9d2c770e7c268d53a5129eee3d8c30d2fbab82a2	en	apple blossom	apple blossom	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_1389f6bce9f0fa350eb1ed9fd8ffd87aa6cd135677ac5f8e6eda52e64b5564f2	en	Chocolate covered almonds	chocolate covered almonds	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_139cd9eb67f657d7e68c136ddd130ccd0c42afa3a0ed73670870e9cc6014f3b0	en	Almond and Nougat	almond and nougat	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_13a182e169c32befac4044e52511bdff58371fdf8e324ac2a42f7757356e53d0	en	pineapple cake	pineapple cake	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_13a4cb4b4a8390138f52422597d7bb819f15424f77d6e36820bc7a9f6a5495d2	en	dense body	dense body	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_13b2ed885fa23e5721bd21e6f62fbc9297ef7a7cf059d6223db190be3bca4ad8	en	red apples and grapes	red apples and grapes	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_148201c4c8af5aa99b5c3dac30071be754503f91b92ae4bdffc4b19f588cc94f	en	Red Fruits and Molasses	red fruits and molasses	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_14af4c642d6b45440fd41896507b5081f80476b5f886cf2dd141a587a0a43350	en	pain d'épices	pain d'épices	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_14e9b36296d4086789395357ce5e2beab455b6c9b099cb4b32359d418b84d22f	en	blueberry muffin	blueberry muffin	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_14f8dd0ae93f73a054ffba52ea4b3d5e999ccf2ab2a270a91300f03a3d3ff67d	en	and Honey	and honey	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_154bc97fe84e01bf5befe281253bebce177542a9ffa94ad8aa19e1703f250567	en	Raspberry Jam and Blackberry	raspberry jam and blackberry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_154d92fabeb40e0a76e9dbf6c2c1fe4e062c233f9ce4dfbbfcbd82586cdc35d5	en	Cola and Silky	cola and silky	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
