transition_id	timestamp	source_route_id	previous_state	new_state	reason	artifact_cursor	commit_sha	operator_type
route-transition:309d789cfdf592479d94665e	2026-08-31T00:00:00+10:00	route.epmc.pmc3951592.storage-sensory		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC3951592 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:c1ef687c5f86b8c7075ecfcd	2026-08-31T01:00:00+10:00	route.epmc.pmc3951592.storage-sensory	DISCOVERED	PROBE_ZERO_YIELD	ACCESSIBLE_ROUTE_WITH_NO_ADMITTED_DESCRIPTOR_SURFACE	PMC3951592 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:4f45541ad12eaaba38de8d73	2026-08-31T00:00:00+10:00	route.epmc.pmc9386398.yunnan-lexicon		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC9386398 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:e4d69e4630d988a1a12b14e3	2026-08-31T01:00:00+10:00	route.epmc.pmc9386398.yunnan-lexicon	DISCOVERED	PROBE_ZERO_YIELD	ACCESSIBLE_ROUTE_WITH_NO_ADMITTED_DESCRIPTOR_SURFACE	PMC9386398 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:f4746313d88078fe35341e78	2026-08-31T00:00:00+10:00	route.iso.18794-2025.coffee-sensory-vocabulary		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	ISO 18794:2025 Online Browsing Platform	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:092593100b7259d9658c4efa	2026-08-31T01:00:00+10:00	route.iso.18794-2025.coffee-sensory-vocabulary	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	ISO 18794:2025 Online Browsing Platform	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:f6051b8e47466541bbdf80dc	2026-08-31T00:00:00+10:00	route.sca.cva-terminology-glossaries		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	SCA Coffee Value Assessment glossary landing page	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:da73f7f32cf391b5d6c87d45	2026-08-31T01:00:00+10:00	route.sca.cva-terminology-glossaries	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	SCA Coffee Value Assessment glossary landing page	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:f3d8ca67112505af229da0f8	2026-08-31T00:00:00+10:00	route.zenodo.20840464.q-grader-dataset		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	Zenodo record 20840464	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:3b0d37581a201fa3f574a53b	2026-08-31T01:00:00+10:00	route.zenodo.20840464.q-grader-dataset	DISCOVERED	DUPLICATE_SATURATED	EXISTING_GOVERNED_SOURCE_FAMILY_NO_DUPLICATE_IMPORT	Zenodo record 20840464	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:3cc1c1b5a709bfdb504971d5	2026-08-31T00:00:00+10:00	route.coffee-board-india.fine-cup-2026		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	Coffee Board of India Fine Cup Award 2026 landing item	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:6c82eb25767fe99feb3c7632	2026-08-31T01:00:00+10:00	route.coffee-board-india.fine-cup-2026	DISCOVERED	PROBE_ZERO_YIELD	ACCESSIBLE_ROUTE_WITH_NO_ADMITTED_DESCRIPTOR_SURFACE	Coffee Board of India Fine Cup Award 2026 landing item	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:a37c40af70894e33d19cd52e	2026-08-31T00:00:00+10:00	route.wcc.wcrc-2026-rules		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	WCC 2026 WCRC rules and scoresheets index	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:3f56160eca3dec389f7e9a51	2026-08-31T01:00:00+10:00	route.wcc.wcrc-2026-rules	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	WCC 2026 WCRC rules and scoresheets index	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:b2136fddd484babe4249f334	2026-08-31T00:00:00+10:00	route.coe.post50k-archive-continuation		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	archive-page=142;detail-index=2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:85e0fca042b20a05292dbce6	2026-08-31T01:00:00+10:00	route.coe.post50k-archive-continuation	DISCOVERED	ACQUISITION_PAUSED	ACQUISITION_CHECKPOINT_STATE	archive-page=167;detail-index=6;url=https://farmdirectory.cupofexcellence.org/listing/17-i-wayan-parum-batukaang-indonesia-2021/	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
