semantic_audit_id	descriptor_assertion_id	source_family_id	audit_stratum	edition_year	source_field_label	publication_layer	raw_field_text_sha256	atomic_source_text_sha256	panelist_identity_sha256	panelist_sample_observation_sha256	effective_record_id	audit_outcome	valid_atomic	valid_broad	compound	over_segmentation	under_segmentation	non_descriptor_leakage	strict_broad_misclassification	publication_duplicate	audit_method	human_reviewed
semantic-audit:85b9ff2a4e3aa9f51c772ee6	assertion-b2:00f060305c95a49793f3ea51	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aroma description	JUDGE_LEVEL_OBSERVATION	1acd67452d2771d365f071d6de60a8c6b41458fb5ea2e11444ffe6ebd6cf2e73	1752b6cc2b03b941cbd01eb743c18492b229adfc0f3cfccae323b248edd4c2c9	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	90898f9309e3fae4db8fbf0f3661f7a6fce3f880ad35dd028600c70ba65a447a	effective-b2:24ac63f4a57887546aa63604	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:e05401e013748960bbce4f4b	assertion-b2:00f10d378325384925bc149f	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Body description	JUDGE_LEVEL_OBSERVATION	184df936d41b2da8d10163ada0ad89d1fa80dfd743f266bcec225e1d392d373f	184df936d41b2da8d10163ada0ad89d1fa80dfd743f266bcec225e1d392d373f	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	8790bb52c1909380e46c8893260e775394ab4b88ee1e6d275c51494e7d8653c8	effective-b2:6d22ae80bd3eee29600004eb	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:a0e9cece1d72bf2aee771b59	assertion-b2:00f967057958065c8793be31	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	804db8cf69f33837b39c8028c0cdac1e809bca1988bc34b3f60a36f8a7a1f315	87e7dfb335308cafde5b081c53aed37ad3f96f921a60e2f51420e6edb1e45fb9	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	f2361775eddb43b149383fef6b32d4607ecdbdd513f753a7b4833ef4b36e5cd1	effective-b2:1e94612c7f0e1813d12c3dfe	VALID_COMPOSITE_REQUIRES_SPLIT	false	false	true	false	true	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:80d9f312cf631d2ab67f704b	assertion-b2:011084ba05b9ea852401e3e5	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Acidity description	JUDGE_LEVEL_OBSERVATION	4b37b6c04ee22502c7da532b2d23c20dc8ac6226b78da38a393f23d1e6e1a120	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	c1a6bbe4f0cf5813d372b6aa3e16e34f76e96135a1af71ab78f1614c24afb78e	effective-b2:252af432dcef188be83f40dc	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:1d3a6e2c59bed2c0a8630978	assertion-b2:013536123ea161f571a3adb2	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Acidity description	JUDGE_LEVEL_OBSERVATION	498aa02e380d039738687bd60201b2a094e1d8cd30bc5b3dc8148d332fb238e3	e6777f085398cad5955fee706d67deab1aa59c87828a16df8f96998d80321c28	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	8f19f2692a65e5d83f5f3151f71b25c27282b7d3e092286fbfa9e75c741be193	effective-b2:ed17fbcc881df566842277ed	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:0a226a985ccde41970ca8633	assertion-b2:014800eda4add443e321e2a1	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Bouquet description	JUDGE_LEVEL_OBSERVATION	ccbff6ed3f9c4348dbcfe9830417a60fd5fc839272a444f9a1b27958e4cc7676	15f121e8545c78fd7f5448ce75c2ef79b7f9fcde4ffc81f0b21e62b4e413fc1e	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	b588c76df7de1d08cae2f5c41fa442ac09c14038257a8e1a43803b6087b1352b	effective-b2:e7105ff063a2e45ce5c9feb7	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:d466e5ac0fc2e46ae94539f9	assertion-b2:01530572fcfdc90a0917626f	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aftertaste description	JUDGE_LEVEL_OBSERVATION	2b973c2ca6627a8c3d66aabe2f1b8ff72abd8d64af24ec30c08e29272fbcd57b	3313aef6660f7149e6012b667a576beb43d49f1bd6abf26b7068ef58c434d794	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	42108044f3a97cc08813ab6cc9e7e458b66216c8a934779532af0d935d4a1fbe	effective-b2:346db75ea2159d24c835250c	VALID_COMPOSITE_REQUIRES_SPLIT	false	false	true	false	true	false	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:c6a490997f6fefea1357f784	assertion-b2:015891626c5dccc1761bbe5f	family.project_origin	PROJECT_ORIGIN_ALL	2025	Cupping Notes	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	d8be286ae84d44c682d709df5eccc9c2efc3fbbb4ff470770110945557bd14c8	d81ab3063ec476535604befadd2d7543875359eb40bf563324887321eda16769			effective-b2:16e8476775f1bb707516914d	NON_DESCRIPTOR	false	false	false	false	false	true	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:a0bf28561c9e72337ec95fc6	assertion-b2:0161eb19c2362e04747f75cb	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Sweetness description	JUDGE_LEVEL_OBSERVATION	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528	5ba995345cc8a4f8e39c2d7170b0b571e5bf9ac0e7ad0df7bb8763b53f64011b	effective-b2:c601a11376ce73da899cd795	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:cf23545eaef33f3eafad8b77	assertion-b2:016dd8ca484fbf092a1629a9	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aftertaste description	JUDGE_LEVEL_OBSERVATION	93a34869d1ee2f4e8f439e891ed055759374db7477dc1590cfac7edc63d76b84	e30970665ed2e34594c2645ba9d3c307b36fc95efb92136b18ebdeee48b9072b	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	b9370db4544788851b39b3597050d216c8256e3842dd0f1faac8e65b277183c0	effective-b2:031981af7b533f0d631c1485	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:50fd261ed740794c5090e5ee	assertion-b2:017f1d321ff4864e528f7e22	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Aftertaste description	JUDGE_LEVEL_OBSERVATION	4f5c5af6893ab9bb00bcda52314e0c90cfae155a76ae88220ecd32a91a2c4251	4f5c5af6893ab9bb00bcda52314e0c90cfae155a76ae88220ecd32a91a2c4251	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107	282b20727c7cce1c04bf99b9dae9f3626741c80289ef099e1c0a13b123c5ff98	effective-b2:efe30a84be04fb7291d53c31	VALID_ATOMIC_DESCRIPTOR	true	false	false	false	false	false	false	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
semantic-audit:cd1b8cd9663ab144e9ed2f62	assertion-b2:01838f7d1626fd77dc6a6768	family.zenodo_golovinsky_q_grader_dataset	ZENODO_GOLD_ALL	2026	Body description	JUDGE_LEVEL_OBSERVATION	202776ce9cb3c25aff254f68c74b207d85a56ed11a67e3bee404354cfc4e24c4	d1b2cefc1c40cee6cb4005ae40e8593fc5a72c9244d4548f543fc0f23a0d5e2e	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	d774503928e82c7fb3be8419f9ec3c2a26c02f1f38abc3ee6cf85c15a13375e3	effective-b2:6b247f1eea4fa67bf6419932	VALID_BROAD_SENSORY	false	true	false	false	false	false	true	false	CODEX_RESTRICTED_SOURCE_SEMANTIC_AUDIT_AUTOMATED_SAFE_OR_PROVISIONAL	false
