record_json
"{""unit"": ""BCP 47 code"", ""data_type"": ""CATEGORY"", ""semantics"": ""Source and response language where reported."", ""limitation"": ""Language code is not bilingual equivalence."", ""feature_key"": ""feature.language"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""Source metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_REPORTED"", ""SOURCE_UNKNOWN""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.round3h.nguyen"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv + nguyen_2026_table4_consumer_outcomes.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""milk mode"", ""data_type"": ""CATEGORY"", ""semantics"": ""Black dairy or plant-alternative matrix context."", ""limitation"": ""Plant alternatives remain named source conditions."", ""feature_key"": ""feature.milk-mode"", ""partition_key"": ""partition.round3h.vezzulli"", ""source_method"": ""Study context"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.baseline.firstbloom"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""corpus.corpus_snapshot_source"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.round3h.gorman"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv + gorman_2021_cata_terms.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.round3h.iswaldi"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.round3h.nguyen"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv + nguyen_2026_table4_consumer_outcomes.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""missingness category"", ""data_type"": ""CATEGORY"", ""semantics"": ""Declared reason a value is absent."", ""limitation"": ""Codes must not be collapsed without an explicit future protocol."", ""feature_key"": ""feature.missingness-code"", ""partition_key"": ""partition.round3h.vezzulli"", ""source_method"": ""Federated contract"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""normalized expression"", ""data_type"": ""TEXT"", ""semantics"": ""Observed product or tasting-note expression."", ""limitation"": ""Round 3H adds no lawful contemporary families."", ""feature_key"": ""feature.industry-expression"", ""partition_key"": ""partition.baseline.firstbloom"", ""source_method"": ""Contemporary corpus"", ""pooling_allowed"": false, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""corpus.corpus_snapshot_source"", ""missingness_semantics"": [""NOT_REPORTED"", ""STRUCTURALLY_MISSING""], ""partition_harmonization_status"": ""PARTIALLY_COMPATIBLE"", ""definition_harmonization_status"": ""PARTIALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.round3h.gorman"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv + gorman_2021_cata_terms.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.round3h.iswaldi"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.round3h.nguyen"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv + nguyen_2026_table4_consumer_outcomes.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""participant class"", ""data_type"": ""CATEGORY"", ""semantics"": ""Ordinary user trained panel expert panel or not applicable."", ""limitation"": ""Participant classes remain coarse."", ""feature_key"": ""feature.participant-type"", ""partition_key"": ""partition.round3h.vezzulli"", ""source_method"": ""Study metadata"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE"", ""NOT_REPORTED""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""selected or present"", ""data_type"": ""BOOLEAN"", ""semantics"": ""Source-local presence or observed selection of a descriptor."", ""limitation"": ""CATA selection and Q-grader frequency remain different fields."", ""feature_key"": ""feature.descriptor-presence"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""CATA or source class"", ""pooling_allowed"": false, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""NOT_MEASURED"", ""STRUCTURALLY_MISSING""], ""partition_harmonization_status"": ""PARTIALLY_COMPATIBLE"", ""definition_harmonization_status"": ""PARTIALLY_COMPATIBLE""}"
"{""unit"": ""selected or present"", ""data_type"": ""BOOLEAN"", ""semantics"": ""Source-local presence or observed selection of a descriptor."", ""limitation"": ""CATA selection and Q-grader frequency remain different fields."", ""feature_key"": ""feature.descriptor-presence"", ""partition_key"": ""partition.round3h.gorman"", ""source_method"": ""CATA or source class"", ""pooling_allowed"": false, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv + gorman_2021_cata_terms.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""NOT_MEASURED"", ""STRUCTURALLY_MISSING""], ""partition_harmonization_status"": ""PARTIALLY_COMPATIBLE"", ""definition_harmonization_status"": ""PARTIALLY_COMPATIBLE""}"
"{""unit"": ""source 0-7 scale"", ""data_type"": ""NUMERIC"", ""semantics"": ""Rate-all-that-apply intensity response."", ""limitation"": ""RATA is not CATA presence or trained intensity."", ""feature_key"": ""feature.rata-rating"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""RATA"", ""pooling_allowed"": false, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_REPORTED"", ""NOT_MEASURED""], ""partition_harmonization_status"": ""SOURCE_LOCAL_ONLY"", ""definition_harmonization_status"": ""SOURCE_LOCAL_ONLY""}"
"{""unit"": ""source 0-7 scale"", ""data_type"": ""NUMERIC"", ""semantics"": ""Rate-all-that-apply intensity response."", ""limitation"": ""RATA is not CATA presence or trained intensity."", ""feature_key"": ""feature.rata-rating"", ""partition_key"": ""partition.round3h.iswaldi"", ""source_method"": ""RATA"", ""pooling_allowed"": false, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""missingness_semantics"": [""NOT_REPORTED"", ""NOT_MEASURED""], ""partition_harmonization_status"": ""SOURCE_LOCAL_ONLY"", ""definition_harmonization_status"": ""SOURCE_LOCAL_ONLY""}"
"{""unit"": ""source family key"", ""data_type"": ""CATEGORY"", ""semantics"": ""Independent canonical origin identifier."", ""limitation"": ""Identity is compatible; outcome semantics are not implied."", ""feature_key"": ""feature.source-family"", ""partition_key"": ""partition.baseline.cotter"", ""source_method"": ""All partitions"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""audit.empirical_coverage_cell + existing Dryad registry"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""source family key"", ""data_type"": ""CATEGORY"", ""semantics"": ""Independent canonical origin identifier."", ""limitation"": ""Identity is compatible; outcome semantics are not implied."", ""feature_key"": ""feature.source-family"", ""partition_key"": ""partition.baseline.firstbloom"", ""source_method"": ""All partitions"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""corpus.corpus_snapshot_source"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""source family key"", ""data_type"": ""CATEGORY"", ""semantics"": ""Independent canonical origin identifier."", ""limitation"": ""Identity is compatible; outcome semantics are not implied."", ""feature_key"": ""feature.source-family"", ""partition_key"": ""partition.baseline.liberica"", ""source_method"": ""All partitions"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""evidence.relationship_source_file"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
"{""unit"": ""source family key"", ""data_type"": ""CATEGORY"", ""semantics"": ""Independent canonical origin identifier."", ""limitation"": ""Identity is compatible; outcome semantics are not implied."", ""feature_key"": ""feature.source-family"", ""partition_key"": ""partition.round3h.bollen"", ""source_method"": ""All partitions"", ""pooling_allowed"": true, ""model_use_status"": ""PREBUILD_ONLY"", ""availability_status"": ""AVAILABLE"", ""source_field_locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""missingness_semantics"": [""NOT_APPLICABLE""], ""partition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE"", ""definition_harmonization_status"": ""SEMANTICALLY_COMPATIBLE""}"
