record_type	record_key	record_json
external_source_file	mendeley.ftnir-specialty-coffee.v4.selected:mendeley_ftnir_v4/SensoryQuality_RoastedCoffee.xlsx	"{""file_role"": ""source_data"", ""pii_scan_pass"": true, ""declared_sha256"": ""4d6a39b332887f2f3a519bf73bd7631a77821a784bc9094a4a52e932c02a3174"", ""exclusion_count"": 0, ""observed_sha256"": ""4d6a39b332887f2f3a519bf73bd7631a77821a784bc9094a4a52e932c02a3174"", ""source_file_path"": ""mendeley_ftnir_v4/SensoryQuality_RoastedCoffee.xlsx"", ""declared_row_count"": 192, ""included_row_count"": 192, ""dataset_snapshot_key"": ""mendeley.ftnir-specialty-coffee.v4.selected"", ""declared_field_count"": 3, ""counts_toward_snapshot"": true, ""raw_public_export_allowed"": true}"
external_source_file	usda.fdc-coffee-search.fndds-2021-2023.20260825:usda_fdc_20260825/coffee_search.json	"{""file_role"": ""source_data"", ""pii_scan_pass"": true, ""declared_sha256"": ""7f72598967e210c1479ac8d399f16213fde6ba5e53852b8c2a625ce28868de36"", ""exclusion_count"": 18, ""observed_sha256"": ""7f72598967e210c1479ac8d399f16213fde6ba5e53852b8c2a625ce28868de36"", ""source_file_path"": ""usda_fdc_20260825/coffee_search.json"", ""declared_row_count"": 50, ""included_row_count"": 32, ""dataset_snapshot_key"": ""usda.fdc-coffee-search.fndds-2021-2023.20260825"", ""declared_field_count"": 18, ""counts_toward_snapshot"": true, ""raw_public_export_allowed"": true}"
external_source_file	wikidata.coffee-preparation-entities.20260825:wikidata_20260825/entities.json	"{""file_role"": ""source_data"", ""pii_scan_pass"": true, ""declared_sha256"": ""c2a65e166483124750118ac8c57f9cf92f5610ca7f3cebe5d45a8f596c0bbc42"", ""exclusion_count"": 0, ""observed_sha256"": ""c2a65e166483124750118ac8c57f9cf92f5610ca7f3cebe5d45a8f596c0bbc42"", ""source_file_path"": ""wikidata_20260825/entities.json"", ""declared_row_count"": 14, ""included_row_count"": 14, ""dataset_snapshot_key"": ""wikidata.coffee-preparation-entities.20260825"", ""declared_field_count"": 6, ""counts_toward_snapshot"": true, ""raw_public_export_allowed"": true}"
language_source_manifest_item	dryad.cotter-v4:1	"{""manifest_item"": {""path"": ""db/data/round3b/raw/cotter_2020_black_coffee/cotter_dataset.csv"", ""role"": ""governed_source_input"", ""rows"": 3186, ""bytes"": 542026, ""sha256"": ""931aff6185381d5079bf93c4727bbbe65ff58ecfb524d2d3b6046eead2009114"", ""canonical_url"": ""https://datadryad.org/api/v2/files/2041575/download""}, ""manifest_ordinal"": 1, ""language_source_key"": ""dryad.cotter-v4""}"
language_source_manifest_item	dryad.cotter-v4:2	"{""manifest_item"": {""path"": ""db/data/round3b/raw/cotter_2020_black_coffee/README.txt"", ""role"": ""license_and_data_dictionary"", ""bytes"": 8479, ""sha256"": ""f6d8f508bad2824a27be8785c841e8df4c75751b58726820f9e3dd226fe3fb5e"", ""canonical_url"": ""https://datadryad.org/api/v2/files/2041574/download""}, ""manifest_ordinal"": 2, ""language_source_key"": ""dryad.cotter-v4""}"
language_source_manifest_item	figshare.bollen-2024:1	"{""manifest_item"": {""role"": ""official_source_workbook"", ""bytes"": 31426, ""sha256"": ""4ca2bff21183d2615e244f68b330ba23282f56e6d012c7be762f04baa19abb0a"", ""canonical_url"": ""https://ndownloader.figshare.com/files/46039437""}, ""manifest_ordinal"": 1, ""language_source_key"": ""figshare.bollen-2024""}"
language_source_manifest_item	figshare.bollen-2024:2	"{""manifest_item"": {""path"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""role"": ""sanitized_governed_input"", ""rows"": 95, ""bytes"": 24359, ""sha256"": ""af06701d39891c3af2d92d1a493461d33aa8995db1c6a2d39d7239178af20073""}, ""manifest_ordinal"": 2, ""language_source_key"": ""figshare.bollen-2024""}"
language_source_manifest_item	github.firstbloom-data.a6cb0026:1	"{""manifest_item"": {""path"": ""product_releases.csv"", ""sha256"": ""f0b556742dfbb7f4122ae00c9b31051c9a2ff233444771742bb538281cf6a8c0""}, ""manifest_ordinal"": 1, ""language_source_key"": ""github.firstbloom-data.a6cb0026""}"
language_source_manifest_item	pmc.vezzulli-2022:1	"{""manifest_item"": {""role"": ""official_full_text_xml"", ""bytes"": 148989, ""sha256"": ""1120133f98712a44d4af364a578f90bc348d31b51de948381fa1b835b5b26c75"", ""canonical_url"": ""https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8953325/fullTextXML""}, ""manifest_ordinal"": 1, ""language_source_key"": ""pmc.vezzulli-2022""}"
language_source_manifest_item	pmc.vezzulli-2022:2	"{""manifest_item"": {""path"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""role"": ""table2_governed_input"", ""rows"": 160, ""bytes"": 28153, ""sha256"": ""1ae24e67eb77ddcf7c85e6fc085a504e022d22df3642211d21d81ee23040066b""}, ""manifest_ordinal"": 2, ""language_source_key"": ""pmc.vezzulli-2022""}"
language_source_manifest_item	rinzemoon_lengcui_lingshiyue:1	"{""manifest_item"": {""url"": ""https://rinzemoon.top/article/articles/LengCui"", ""etag"": ""W/\""66db-zkjFNR3Mqp1vGFeK5G55s3we/4U\"""", ""bytes"": 26331, ""sha256"": ""bfefe1bba5efbeb508e87f4ea4a45d77adf49683e0b0fb606ee208f0e12a2f7f""}, ""manifest_ordinal"": 1, ""language_source_key"": ""rinzemoon_lengcui_lingshiyue""}"
language_source_manifest_item	zhangdeweb_junru_zhang_tasting_notes:1	"{""manifest_item"": {""path"": ""2025/03/06/coffee/index.html"", ""bytes"": 45613, ""sha256"": ""19c8cce17bf4f97f8354d29a79e7e1e860be4ef8422a8ce65d479e91545dc3c4"", ""git_blob"": ""f757d6f40372e33b4d7edb96ec4af69fed237f02"", ""git_commit"": ""dc5d02885c599df207f6bbd8c2bbc4009a4303e8""}, ""manifest_ordinal"": 1, ""language_source_key"": ""zhangdeweb_junru_zhang_tasting_notes""}"
relationship_source_file	file.bollen.sensory-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""file_key"": ""file.bollen.sensory-derived"", ""filename"": ""bollen_2024_sensory_scores.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 95, ""local_path"": ""db/data/round3h/batch1/bollen_2024_sensory_scores.tsv"", ""source_key"": ""figshare.bollen-2024"", ""field_count"": 36, ""snapshot_key"": ""snapshot.figshare-25735122.v1"", ""hash_verified"": true, ""declared_sha256"": ""af06701d39891c3af2d92d1a493461d33aa8995db1c6a2d39d7239178af20073"", ""file_size_bytes"": 24359, ""verified_sha256"": ""af06701d39891c3af2d92d1a493461d33aa8995db1c6a2d39d7239178af20073"", ""source_family_key"": ""family.bollen-robusta-qgraders-2024"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.coffee-cuality.constructs-derived	"{""license"": ""CC BY 4.0 article; trademark excluded"", ""locator"": ""db/data/round3h/batch5/instrument_constructs.tsv#construct.cuality"", ""file_key"": ""file.coffee-cuality.constructs-derived"", ""filename"": ""instrument_constructs.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 8, ""local_path"": ""db/data/round3h/batch5/instrument_constructs.tsv"", ""source_key"": ""pmc.coffee-cuality-2026"", ""field_count"": 10, ""snapshot_key"": ""snapshot.pmc12938992.vor"", ""hash_verified"": true, ""declared_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""file_size_bytes"": 10329, ""verified_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""source_family_key"": ""family.coffee-cuality-experts-2026"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.condelli.constructs-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch5/instrument_constructs.tsv#construct.condelli"", ""file_key"": ""file.condelli.constructs-derived"", ""filename"": ""instrument_constructs.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 18, ""local_path"": ""db/data/round3h/batch5/instrument_constructs.tsv"", ""source_key"": ""pmc.condelli-2022"", ""field_count"": 10, ""snapshot_key"": ""snapshot.pmc9826037.vor"", ""hash_verified"": true, ""declared_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""file_size_bytes"": 10329, ""verified_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""source_family_key"": ""family.condelli-consumer-cata-2022"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.cotter.relationship-v4.aggregate	"{""license"": ""CC0-1.0"", ""locator"": ""db/data/round3i/relationship/cotter_brew_acidity_citrus_aggregates.tsv"", ""file_key"": ""file.cotter.relationship-v4.aggregate"", ""filename"": ""cotter_brew_acidity_citrus_aggregates.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 27, ""local_path"": ""db/data/round3i/relationship/cotter_brew_acidity_citrus_aggregates.tsv"", ""source_key"": ""dryad.cotter-black-coffee.relationship.v4"", ""field_count"": 5, ""snapshot_key"": ""snapshot.dryad-cotter-relationship.v4"", ""hash_verified"": true, ""declared_sha256"": ""adf26fd10be549b4f4bf74f2e5a45121f85405d1231e874f7cb9a2aecbb3118c"", ""file_size_bytes"": 1385, ""verified_sha256"": ""adf26fd10be549b4f4bf74f2e5a45121f85405d1231e874f7cb9a2aecbb3118c"", ""source_family_key"": ""family.legacy-cotter-consumers"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.cotter.relationship-v4.raw	"{""license"": ""CC0-1.0"", ""locator"": ""https://datadryad.org/api/v2/files/2041575/download"", ""file_key"": ""file.cotter.relationship-v4.raw"", ""filename"": ""cotter_dataset.csv"", ""file_role"": ""RAW_EXTERNAL"", ""row_count"": 3186, ""local_path"": null, ""source_key"": ""dryad.cotter-black-coffee.relationship.v4"", ""field_count"": 48, ""snapshot_key"": ""snapshot.dryad-cotter-relationship.v4"", ""hash_verified"": true, ""declared_sha256"": ""931aff6185381d5079bf93c4727bbbe65ff58ecfb524d2d3b6046eead2009114"", ""file_size_bytes"": 542026, ""verified_sha256"": ""931aff6185381d5079bf93c4727bbbe65ff58ecfb524d2d3b6046eead2009114"", ""source_family_key"": ""family.legacy-cotter-consumers"", ""public_export_decision"": ""EXTERNAL_ONLY"", ""contains_participant_identifiers"": true}"
relationship_source_file	file.gorman.cata-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch2/gorman_2021_cata_terms.tsv"", ""file_key"": ""file.gorman.cata-derived"", ""filename"": ""gorman_2021_cata_terms.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 26, ""local_path"": ""db/data/round3h/batch2/gorman_2021_cata_terms.tsv"", ""source_key"": ""mdpi.gorman-2021"", ""field_count"": 10, ""snapshot_key"": ""snapshot.mdpi-beverages-07-00080.vor"", ""hash_verified"": true, ""declared_sha256"": ""23e94c22aa23755120eaa9e73bc3210adce1a0d7e1eaf3932a7ba401bb59923a"", ""file_size_bytes"": 3293, ""verified_sha256"": ""23e94c22aa23755120eaa9e73bc3210adce1a0d7e1eaf3932a7ba401bb59923a"", ""source_family_key"": ""family.gorman-milk-consumers-2021"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.gorman.liking-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv"", ""file_key"": ""file.gorman.liking-derived"", ""filename"": ""gorman_2021_liking_aggregates.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 48, ""local_path"": ""db/data/round3h/batch2/gorman_2021_liking_aggregates.tsv"", ""source_key"": ""mdpi.gorman-2021"", ""field_count"": 14, ""snapshot_key"": ""snapshot.mdpi-beverages-07-00080.vor"", ""hash_verified"": true, ""declared_sha256"": ""78934fa0876598d9dee480407cba93743e6554106fce7071b27d7116301771d1"", ""file_size_bytes"": 8322, ""verified_sha256"": ""78934fa0876598d9dee480407cba93743e6554106fce7071b27d7116301771d1"", ""source_family_key"": ""family.gorman-milk-consumers-2021"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.heo.constructs-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch5/instrument_constructs.tsv#construct.heo"", ""file_key"": ""file.heo.constructs-derived"", ""filename"": ""instrument_constructs.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 17, ""local_path"": ""db/data/round3h/batch5/instrument_constructs.tsv"", ""source_key"": ""pmc.heo-2019"", ""field_count"": 10, ""snapshot_key"": ""snapshot.pmc6723667.vor"", ""hash_verified"": true, ""declared_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""file_size_bytes"": 10329, ""verified_sha256"": ""3a196e6581f5717e88d6e59980b2d584f28f113a8b889a1493ae184268477f9b"", ""source_family_key"": ""family.heo-coldbrew-consumers-2019"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.iswaldi.table3-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""file_key"": ""file.iswaldi.table3-derived"", ""filename"": ""iswaldi_2026_table3_sensory_aggregates.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 72, ""local_path"": ""db/data/round3h/batch1/iswaldi_2026_table3_sensory_aggregates.tsv"", ""source_key"": ""scielo.iswaldi-2026"", ""field_count"": 14, ""snapshot_key"": ""snapshot.scielo-iswaldi-2026.vor"", ""hash_verified"": true, ""declared_sha256"": ""9b1771dccfed02da3cc4235633445eecd4800256f5f61e0c3288d5b48235bc53"", ""file_size_bytes"": 12668, ""verified_sha256"": ""9b1771dccfed02da3cc4235633445eecd4800256f5f61e0c3288d5b48235bc53"", ""source_family_key"": ""family.iswaldi-rataconsumers-2026"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.liberica.rata-summary	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3g/liberica_rata_summary_matrix.tsv"", ""file_key"": ""file.liberica.rata-summary"", ""filename"": ""liberica_rata_summary_matrix.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 10, ""local_path"": ""db/data/round3g/liberica_rata_summary_matrix.tsv"", ""source_key"": ""mendeley.liberica-sensory.v1"", ""field_count"": 10, ""snapshot_key"": ""snapshot.mendeley-liberica.v1"", ""hash_verified"": true, ""declared_sha256"": ""05c70310bc9ca64bde3bd3f02da0c029a2043446799e340ad83ecafd2f01babc"", ""file_size_bytes"": 1549, ""verified_sha256"": ""05c70310bc9ca64bde3bd3f02da0c029a2043446799e340ad83ecafd2f01babc"", ""source_family_key"": ""family.liberica-ratapanel-2025"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.liberica.raw-workbook	"{""license"": ""CC BY 4.0"", ""locator"": ""https://data.mendeley.com/public-files/datasets/m3n2gc4dv6/files/f2aac28f-b5b8-4ae5-8bf1-d3db1f16c435/file_downloaded"", ""file_key"": ""file.liberica.raw-workbook"", ""filename"": ""Dataset.xlsx"", ""file_role"": ""RAW_EXTERNAL"", ""row_count"": 956, ""local_path"": null, ""source_key"": ""mendeley.liberica-sensory.v1"", ""field_count"": 41, ""snapshot_key"": ""snapshot.mendeley-liberica.v1"", ""hash_verified"": true, ""declared_sha256"": ""299c4ee083b8cc5a67608c1280a75e963e93d64478d2d70755ad299f9e5e8dda"", ""file_size_bytes"": 834747, ""verified_sha256"": ""299c4ee083b8cc5a67608c1280a75e963e93d64478d2d70755ad299f9e5e8dda"", ""source_family_key"": ""family.liberica-ratapanel-2025"", ""public_export_decision"": ""EXTERNAL_ONLY"", ""contains_participant_identifiers"": true}"
relationship_source_file	file.nguyen.consumer-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch2/nguyen_2026_table4_consumer_outcomes.tsv"", ""file_key"": ""file.nguyen.consumer-derived"", ""filename"": ""nguyen_2026_table4_consumer_outcomes.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 20, ""local_path"": ""db/data/round3h/batch2/nguyen_2026_table4_consumer_outcomes.tsv"", ""source_key"": ""mdpi.nguyen-2026"", ""field_count"": 15, ""snapshot_key"": ""snapshot.mdpi-foods-15-02583.vor"", ""hash_verified"": true, ""declared_sha256"": ""5d9b8891930629b9304eda3cd5d65018559c84344f40a765ee6d012afc231cc2"", ""file_size_bytes"": 5131, ""verified_sha256"": ""5d9b8891930629b9304eda3cd5d65018559c84344f40a765ee6d012afc231cc2"", ""source_family_key"": ""family.nguyen-pbma-thai-2026"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.nguyen.sensory-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv"", ""file_key"": ""file.nguyen.sensory-derived"", ""filename"": ""nguyen_2026_table3_sensory_intensities.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 260, ""local_path"": ""db/data/round3h/batch2/nguyen_2026_table3_sensory_intensities.tsv"", ""source_key"": ""mdpi.nguyen-2026"", ""field_count"": 16, ""snapshot_key"": ""snapshot.mdpi-foods-15-02583.vor"", ""hash_verified"": true, ""declared_sha256"": ""10630ff70297d0dbab22ecc164dd863b6bafbef66980a6287c68d6cbb8eda574"", ""file_size_bytes"": 62187, ""verified_sha256"": ""10630ff70297d0dbab22ecc164dd863b6bafbef66980a6287c68d6cbb8eda574"", ""source_family_key"": ""family.nguyen-pbma-thai-2026"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.vezzulli.table2-derived	"{""license"": ""CC BY 4.0"", ""locator"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""file_key"": ""file.vezzulli.table2-derived"", ""filename"": ""vezzulli_2022_table2_sensory_medians.tsv"", ""file_role"": ""DERIVED_AGGREGATE"", ""row_count"": 160, ""local_path"": ""db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv"", ""source_key"": ""pmc.vezzulli-2022"", ""field_count"": 11, ""snapshot_key"": ""snapshot.pmc8953325.xml"", ""hash_verified"": true, ""declared_sha256"": ""1ae24e67eb77ddcf7c85e6fc085a504e022d22df3642211d21d81ee23040066b"", ""file_size_bytes"": 28153, ""verified_sha256"": ""1ae24e67eb77ddcf7c85e6fc085a504e022d22df3642211d21d81ee23040066b"", ""source_family_key"": ""family.vezzulli-trainedpanel-2022"", ""public_export_decision"": ""PUBLIC_AGGREGATE"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.wiktionary.en-metadata	"{""license"": ""CC BY-SA 4.0 / GFDL"", ""locator"": ""db/data/round3g/enwiktionary_revision_metadata.json"", ""file_key"": ""file.wiktionary.en-metadata"", ""filename"": ""enwiktionary_revision_metadata.json"", ""file_role"": ""REVISION_METADATA"", ""row_count"": 6, ""local_path"": ""db/data/round3g/enwiktionary_revision_metadata.json"", ""source_key"": ""wiktionary.en.revision-set.20260825"", ""field_count"": 5, ""snapshot_key"": ""snapshot.wiktionary.en.20260825"", ""hash_verified"": true, ""declared_sha256"": ""d3c68aa73dc9f4974abb104ae986017f90560b4befbd40670a4f20daeb72bfa8"", ""file_size_bytes"": 1206, ""verified_sha256"": ""d3c68aa73dc9f4974abb104ae986017f90560b4befbd40670a4f20daeb72bfa8"", ""source_family_key"": ""family.wiktionary-revision-set-20260825"", ""public_export_decision"": ""PUBLIC_METADATA"", ""contains_participant_identifiers"": false}"
relationship_source_file	file.wiktionary.zh-metadata	"{""license"": ""CC BY-SA 4.0 / GFDL"", ""locator"": ""db/data/round3g/zhwiktionary_revision_metadata.json"", ""file_key"": ""file.wiktionary.zh-metadata"", ""filename"": ""zhwiktionary_revision_metadata.json"", ""file_role"": ""REVISION_METADATA"", ""row_count"": 9, ""local_path"": ""db/data/round3g/zhwiktionary_revision_metadata.json"", ""source_key"": ""wiktionary.zh.revision-set.20260825"", ""field_count"": 5, ""snapshot_key"": ""snapshot.wiktionary.zh.20260825"", ""hash_verified"": true, ""declared_sha256"": ""fab81d42e2758bc7d656fa5e41ea305f7d92a8294d1a89c90e771a28dd280ac2"", ""file_size_bytes"": 1174, ""verified_sha256"": ""fab81d42e2758bc7d656fa5e41ea305f7d92a8294d1a89c90e771a28dd280ac2"", ""source_family_key"": ""family.wiktionary-revision-set-20260825"", ""public_export_decision"": ""PUBLIC_METADATA"", ""contains_participant_identifiers"": false}"
