expectation_key	series_key	series_name	year	expected_start_year	start_basis	primary_denominator	data_role	terminal_status	status_evidence	archive_rows_count_as_model_labels
archive:coe:2014	coe	Cup of Excellence	2014	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	22 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2015	coe	Cup of Excellence	2015	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	24 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2016	coe	Cup of Excellence	2016	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	10 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2017	coe	Cup of Excellence	2017	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_DESCRIPTOR_BEARING	Round 3M governed descriptor assertion ledger contains bounded coffee-record observations.	false
archive:coe:2018	coe	Cup of Excellence	2018	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	24 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2019	coe	Cup of Excellence	2019	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	18 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2020	coe	Cup of Excellence	2020	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	16 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2021	coe	Cup of Excellence	2021	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	23 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2022	coe	Cup of Excellence	2022	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	12 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2023	coe	Cup of Excellence	2023	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	13 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2024	coe	Cup of Excellence	2024	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	11 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2025	coe	Cup of Excellence	2025	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_DESCRIPTOR_BEARING	Round 3M governed descriptor assertion ledger contains bounded coffee-record observations.	false
archive:coe:2026	coe	Cup of Excellence	2026	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	false	LONGITUDINAL_ARCHIVE_ROW	CURRENT_YEAR_INCOMPLETE	Round 4A treats 2026 as a separately labelled current-year supplement.	false
archive:global_coffee_awards:2024	global_coffee_awards	Global Coffee Awards	2024	2024	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:global_coffee_awards:2025	global_coffee_awards	Global Coffee Awards	2025	2024	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACCESS_BLOCKED	Round 3L acquisition attempt did not yield a lawful accessible payload.	false
archive:global_coffee_awards:2026	global_coffee_awards	Global Coffee Awards	2026	2024	PROVISIONAL_SERIES_SCOPE_START	false	LONGITUDINAL_ARCHIVE_ROW	CURRENT_YEAR_INCOMPLETE	Round 4A treats 2026 as a separately labelled current-year supplement.	false
archive:golden_bean_americas:2015	golden_bean_americas	Golden Bean The Americas	2015	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_americas:2016	golden_bean_americas	Golden Bean The Americas	2016	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2017	golden_bean_americas	Golden Bean The Americas	2017	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2018	golden_bean_americas	Golden Bean The Americas	2018	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2019	golden_bean_americas	Golden Bean The Americas	2019	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2020	golden_bean_americas	Golden Bean The Americas	2020	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_americas:2021	golden_bean_americas	Golden Bean The Americas	2021	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_americas:2022	golden_bean_americas	Golden Bean The Americas	2022	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_americas:2023	golden_bean_americas	Golden Bean The Americas	2023	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	23 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2024	golden_bean_americas	Golden Bean The Americas	2024	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_americas:2025	golden_bean_americas	Golden Bean The Americas	2025	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	23 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_americas:2026	golden_bean_americas	Golden Bean The Americas	2026	2015	PROVISIONAL_SERIES_SCOPE_START	false	LONGITUDINAL_ARCHIVE_ROW	CURRENT_YEAR_INCOMPLETE	Round 4A treats 2026 as a separately labelled current-year supplement.	false
archive:golden_bean_australasia:2005	golden_bean_australasia	Golden Bean Australasia	2005	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2006	golden_bean_australasia	Golden Bean Australasia	2006	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2007	golden_bean_australasia	Golden Bean Australasia	2007	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2008	golden_bean_australasia	Golden Bean Australasia	2008	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2009	golden_bean_australasia	Golden Bean Australasia	2009	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2010	golden_bean_australasia	Golden Bean Australasia	2010	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2011	golden_bean_australasia	Golden Bean Australasia	2011	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2012	golden_bean_australasia	Golden Bean Australasia	2012	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2013	golden_bean_australasia	Golden Bean Australasia	2013	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2014	golden_bean_australasia	Golden Bean Australasia	2014	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2015	golden_bean_australasia	Golden Bean Australasia	2015	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2016	golden_bean_australasia	Golden Bean Australasia	2016	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2017	golden_bean_australasia	Golden Bean Australasia	2017	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2018	golden_bean_australasia	Golden Bean Australasia	2018	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2019	golden_bean_australasia	Golden Bean Australasia	2019	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2020	golden_bean_australasia	Golden Bean Australasia	2020	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:golden_bean_australasia:2021	golden_bean_australasia	Golden Bean Australasia	2021	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2022	golden_bean_australasia	Golden Bean Australasia	2022	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2023	golden_bean_australasia	Golden Bean Australasia	2023	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	23 public acquisition attempt(s) retained in Round 3L.	false
archive:golden_bean_australasia:2024	golden_bean_australasia	Golden Bean Australasia	2024	2005	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	23 public acquisition attempt(s) retained in Round 3L.	false
