census_item_key	item_kind	parent_key	series_key	source_family_key	edition_label	year	country_or_community	category_or_round	official_url	discovery_basis	source_snapshot_sha256	corpus_state	acquisition_state	rights_state	attempt_status	note
series:scaj_jbrc	COMPETITION_SERIES		scaj_jbrc	scaj_jbrc	Japan Brewers Cup		NATIONAL		https://scaj.org/activity/competitions/jbrc/2026-competition	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Past results expose rankings and service totals, not complete sensory comments
series:scaj_jcrc	COMPETITION_SERIES		scaj_jcrc	scaj_jcrc	Japan Coffee Roasting Championship		NATIONAL		https://scaj.org/activity/competitions/jcrc/2026-competitor	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Entry-level cup profiles are not confirmed public
series:scaj_jhdc	COMPETITION_SERIES		scaj_jhdc	scaj_jhdc	Japan Hand Drip Championship		NATIONAL		https://scaj.org/activity/competitions/jhdc-2/2026-competition	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public score sheets require row-level inspection before any field extraction
series:scaj_jsc	COMPETITION_SERIES		scaj_jsc	scaj_jsc	Japan Siphonist Championship		NATIONAL		https://scaj.org/activity/competitions/jsc/jsc2026-competitor	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public download index requires direct score-sheet inspection
series:scaj_wsc	COMPETITION_SERIES		scaj_wsc	scaj_wsc	World Siphonist Championship		WORLD		https://scaj.org/activity/competitions/jsc/jsc-overview	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Official overview confirms the series but no sufficiently current standalone edition page was verified
series:taste_of_harvest	COMPETITION_SERIES		taste_of_harvest	taste_of_harvest	Taste of Harvest		NATIONAL_AND_REGIONAL_ORIGIN		https://afca.coffee/programs/taste-of-harvest/	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Organizer-stated sample totals are not acquired-record counts; underlying judging data and rights require request
series:wcc_cic	COMPETITION_SERIES		wcc_cic	wcc_cic	Cezve/Ibrik Championship		WORLD		https://wcc.coffee/cezve-ibrik-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Current rules index lists 2025-named scoresheets under the 2026 section
series:wcc_competition_body_registry	COMPETITION_SERIES		wcc_competition_body_registry	wcc_competition_body_registry	WCC Competition Body Registry		NATIONAL_LICENSE_REGISTRY		https://wcc.coffee/competition-bodies	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Live embedded registry enumerated at 61 records; most records do not enumerate competition types, editions, results, scoresheets, or rights
series:wcc_wbc	COMPETITION_SERIES		wcc_wbc	wcc_wbc	World Barista Championship		WORLD		https://wcc.coffee/world-barista-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public rankings and forms do not establish reuse or model rights
series:wcc_wbrc	COMPETITION_SERIES		wcc_wbrc	wcc_wbrc	World Brewers Cup		WORLD		https://wcc.coffee/world-brewers-cup	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Entry-level sensory comments are not exposed in the public rankings
series:wcc_wcigs	COMPETITION_SERIES		wcc_wcigs	wcc_wcigs	World Coffee in Good Spirits Championship		WORLD		https://wcc.coffee/world-coffee-in-good-spirits-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Irish Coffee and designer beverages contain alcohol or other additions
series:wcc_wcrc	COMPETITION_SERIES		wcc_wcrc	wcc_wcrc	World Coffee Roasting Championship		WORLD		https://wcc.coffee/world-coffee-roasting-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Public rankings do not expose all cup-level sensory fields
series:wcc_wctc	COMPETITION_SERIES		wcc_wctc	wcc_wctc	World Cup Tasters Championship		WORLD		https://wcc.coffee/world-cup-tasters-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Useful for discrimination-performance context, not descriptor labels
series:wcc_wlac	COMPETITION_SERIES		wcc_wlac	wcc_wlac	World Latte Art Championship		WORLD		https://wcc.coffee/world-latte-art-championship	ROUND3K_RECONCILED_SERIES		DISCOVERED	DISCOVERED_ONLY	UNKNOWN	NOT_ATTEMPTED	Not a core source for black-coffee flavor-language evidence
source:aica_2022_booklet	SOURCE_ACCESS_ROUTE	series:melbourne_royal_aica	melbourne_royal_aica	aica_rules	Melbourne Royal			OFFICIAL_ENTRY_BOOKLET_PDF	https://www.melbourneroyal.com.au/media/7827/2022-mr-aica-entry-booklet-p3-final.pdf	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_OFFICIAL_PDF	UNKNOWN	NOT_ATTEMPTED	Official class-specific judging criteria; no reuse grant verified
source:aica_2022_results	SOURCE_ACCESS_ROUTE	series:melbourne_royal_aica	melbourne_royal_aica	aica_results	Melbourne Royal			OFFICIAL_RESULTS_PDF	https://www.melbourneroyal.com.au/media/8107/mr_aica_results_2022.pdf	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_OFFICIAL_PDF	UNKNOWN	NOT_ATTEMPTED	Organizer states aggregate entry totals, but no row count was treated as acquired or enumerated
source:aica_on_hold	SOURCE_ACCESS_ROUTE	series:melbourne_royal_aica	melbourne_royal_aica	aica_official	Melbourne Royal			OFFICIAL_STATUS_NOTICE	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official on-hold notice; no return inferred
source:avpa_annual_results	SOURCE_ACCESS_ROUTE	series:avpa_coffees_roasted_at_origin	avpa_coffees_roasted_at_origin	avpa_results	AVPA			OFFICIAL_RESULTS_ARCHIVE	https://www.avpa.fr/palmaresannuel	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_ARCHIVE_INDEX	UNKNOWN	NOT_ATTEMPTED	Annual award results index; individual sensory sheets and rights remain request-required
source:avpa_coffee_page	SOURCE_ACCESS_ROUTE	series:avpa_coffees_roasted_at_origin	avpa_coffees_roasted_at_origin	avpa_official	AVPA			OFFICIAL_SERIES_PAGE	https://en.avpa.fr/cafes	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official 12th contest and preparation summary; rights unknown
source:avpa_coffee_rules	SOURCE_ACCESS_ROUTE	series:avpa_coffees_roasted_at_origin	avpa_coffees_roasted_at_origin	avpa_rules	AVPA			OFFICIAL_RULES_PDF	https://www.avpa.fr/_files/ugd/58172f_807727a8b5864c0fb3413335776c590a.pdf	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_OFFICIAL_PDF	UNKNOWN	NOT_ATTEMPTED	Official espresso and unfiltered-infusion preparation classes; rights unknown
source:bop_2026_about	SOURCE_ACCESS_ROUTE	series:best_of_panama	best_of_panama	bop_official	Specialty Coffee Association of Panama			OFFICIAL_EDITION_PAGE	https://bestofpanama.org/about2026	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official categories and dates; rights unknown
source:bop_2026_national_release	SOURCE_ACCESS_ROUTE	series:best_of_panama	best_of_panama	bop_results	Specialty Coffee Association of Panama			OFFICIAL_RESULTS_RELEASE	https://scap-panama.com/cafe-de-alta-gama-brillo-en-la-cata-nacional-del-best-of-panama-64-lotes-avanzan-a-la-ronda-internacional/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official release states 64 lots advanced; no records acquired and no rights grant inferred
source:bop_results_archive	SOURCE_ACCESS_ROUTE	series:best_of_panama	best_of_panama	bop_results	Specialty Coffee Association of Panama			OFFICIAL_RESULTS_ARCHIVE	https://bestofpanama.org/resultados	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_ARCHIVE_INDEX	UNKNOWN	NOT_ATTEMPTED	Public downloads cover only part of the historical series; rights unknown
source:coe_archive	SOURCE_ACCESS_ROUTE	series:coe	coe	coe_results	Alliance for Coffee Excellence			OFFICIAL_RESULTS_ARCHIVE	https://cupofexcellence.org/competition-auction-results/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_ARCHIVE_INDEX	UNKNOWN	NOT_ATTEMPTED	Historical country/year listings are public; no blanket reuse rights verified
source:coe_farm_directory	SOURCE_ACCESS_ROUTE	series:coe	coe	coe_results	Alliance for Coffee Excellence			OFFICIAL_FARM_DIRECTORY	https://farmdirectory.cupofexcellence.org/listings/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DIRECTORY	UNKNOWN	NOT_ATTEMPTED	Pagination observed but item count not inferred from page count; no records acquired
source:coe_process	SOURCE_ACCESS_ROUTE	series:coe	coe	coe_official	Alliance for Coffee Excellence			OFFICIAL_PROCESS_PAGE	https://cupofexcellence.org/cup-of-excellence/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official blind three-stage process; rights unknown
source:coe_program	SOURCE_ACCESS_ROUTE	series:coe	coe	coe_official	Alliance for Coffee Excellence			OFFICIAL_PROGRAM_PAGE	https://cupofexcellence.org/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Current program, farm, and auction display; public access is not reuse or model permission
source:gba_2025_results	SOURCE_ACCESS_ROUTE	series:golden_bean_americas	golden_bean_americas	golden_bean_results	Golden Bean			OFFICIAL_RESULTS_PAGE	https://goldenbean.com/pages/2025-results	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_RESULTS_PAGE	UNKNOWN	NOT_ATTEMPTED	Public winners presentation does not establish reusable entry-level scores
source:gba_main	SOURCE_ACCESS_ROUTE	series:golden_bean_americas	golden_bean_americas	golden_bean_official	Golden Bean			OFFICIAL_SERIES_PAGE	https://goldenbean.com/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Current edition and category information; rights unknown
source:gba_past_results	SOURCE_ACCESS_ROUTE	series:golden_bean_americas	golden_bean_americas	golden_bean_results	Golden Bean			OFFICIAL_RESULTS_ARCHIVE	https://goldenbean.com/pages/past-results-america	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_ARCHIVE_INDEX	UNKNOWN	NOT_ATTEMPTED	Historical results index; rights unknown
source:gbaus_about	SOURCE_ACCESS_ROUTE	series:golden_bean_australasia	golden_bean_australasia	golden_bean_official	Golden Bean			OFFICIAL_SERIES_PAGE	https://goldenbean.com.au/pages/about	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official 2026 dates and three service categories; rights unknown
source:gbws_information	SOURCE_ACCESS_ROUTE	series:golden_bean_world_series	golden_bean_world_series	golden_bean_official	Golden Bean			OFFICIAL_SERIES_PAGE	https://goldenbean.com.au/pages/world-series	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Dedicated 2026 edition page and family format; marketing aggregate not used as record count
source:gca_categories	SOURCE_ACCESS_ROUTE	series:global_coffee_awards	global_coffee_awards	gca_rules	Global Coffee Awards			OFFICIAL_CATEGORY_PAGE	https://globalcoffeeawards.com/categories/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Four service categories verified; rights unknown
source:gca_contact	SOURCE_ACCESS_ROUTE	series:global_coffee_awards	global_coffee_awards	gca_contact	Global Coffee Awards			OFFICIAL_CONTACT_FORM	https://globalcoffeeawards.com/contact-us/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	REQUEST_REQUIRED	UNKNOWN	NOT_ATTEMPTED	No form submitted; form terms must be reviewed before any request
source:gca_faq	SOURCE_ACCESS_ROUTE	series:global_coffee_awards	global_coffee_awards	gca_rules	Global Coffee Awards			OFFICIAL_FAQ	https://globalcoffeeawards.com/faq/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official panel composition and submission rules; judging feedback is private
source:gca_main	SOURCE_ACCESS_ROUTE	series:global_coffee_awards	global_coffee_awards	gca_official	Global Coffee Awards			OFFICIAL_SERIES_PAGE	https://globalcoffeeawards.com/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Current regional entry status and category summaries; rights unknown
source:iiac_2025_regulations	SOURCE_ACCESS_ROUTE	series:iiac_ict	iiac_ict	iiac_rules	International Institute of Coffee Tasters			OFFICIAL_RULES_PDF	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_OFFICIAL_PDF	UNKNOWN	NOT_ATTEMPTED	Official categories A-I; public access does not confer data or model rights
source:iiac_2025_results	SOURCE_ACCESS_ROUTE	series:iiac_ict	iiac_ict	iiac_results	International Institute of Coffee Tasters			OFFICIAL_RESULTS_PAGE	https://www.internationalcoffeetasting.com/ict/ict-2025-gold-medals/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_RESULTS_PAGE	UNKNOWN	NOT_ATTEMPTED	Gold-medal page only; underlying sensory profiles remain request-required
source:iiac_competition	SOURCE_ACCESS_ROUTE	series:iiac_ict	iiac_ict	iiac_official	International Institute of Coffee Tasters			OFFICIAL_SERIES_PAGE	https://www.iiac.coffee/en/concorso	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official sensory-profile claims and competition overview; rights unknown
source:iiac_score_method	SOURCE_ACCESS_ROUTE	series:iiac_ict	iiac_ict	iiac_method	International Institute of Coffee Tasters			OFFICIAL_SCORING_METHOD	https://www.internationalcoffeetasting.com/ict/calculation-of-the-score/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official calculation and descriptor-family explanation; no reuse grant verified
source:racs_2025_results	SOURCE_ACCESS_ROUTE	series:royal_adelaide_coffee_show	royal_adelaide_coffee_show	racs_results	Royal Agricultural and Horticultural Society of South Australia			OFFICIAL_RESULTS_PDF	https://www.royaladelaidecoffeeshow.com.au/_files/ugd/1ab17b_132832e8ff2f4a22a824e58806980793.pdf	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_OFFICIAL_PDF	UNKNOWN	NOT_ATTEMPTED	Official 2025 results PDF; no records acquired
source:racs_home	SOURCE_ACCESS_ROUTE	series:royal_adelaide_coffee_show	royal_adelaide_coffee_show	racs_official	Royal Agricultural and Horticultural Society of South Australia			OFFICIAL_SERIES_AND_RESULTS_PAGE	https://www.royaladelaidecoffeeshow.com.au/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	NOT_ATTEMPTED	Official 2026 pause, classes, judging summary, and result links; rights unknown
source:scaj_jbrc_page	SOURCE_ACCESS_ROUTE	series:scaj_jbrc	scaj_jbrc	scaj_competitions	Specialty Coffee Association of Japan			OFFICIAL_COMPETITION_PAGE	https://scaj.org/activity/competitions/jbrc/2026-competition	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	NOT_ATTEMPTED	Official competition and score-sheet links; no score records acquired
source:scaj_jcrc_page	SOURCE_ACCESS_ROUTE	series:scaj_jcrc	scaj_jcrc	scaj_competitions	Specialty Coffee Association of Japan			OFFICIAL_COMPETITION_PAGE	https://scaj.org/activity/competitions/jcrc/2026-competitor	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	NOT_ATTEMPTED	Official current WCRC rules and four score-sheet links; no score records acquired
source:scaj_jhdc_page	SOURCE_ACCESS_ROUTE	series:scaj_jhdc	scaj_jhdc	scaj_competitions	Specialty Coffee Association of Japan			OFFICIAL_COMPETITION_PAGE	https://scaj.org/activity/competitions/jhdc-2/2026-competition	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	NOT_ATTEMPTED	Official score-sheet links present; no score records acquired
source:scaj_jsc_page	SOURCE_ACCESS_ROUTE	series:scaj_jsc	scaj_jsc	scaj_competitions	Specialty Coffee Association of Japan			OFFICIAL_COMPETITION_PAGE	https://scaj.org/activity/competitions/jsc/jsc2026-competitor	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	NOT_ATTEMPTED	Official preliminary/final format and score-sheet links; no score records acquired
source:scaj_wsc_overview	SOURCE_ACCESS_ROUTE	series:scaj_wsc	scaj_wsc	scaj_competitions	Specialty Coffee Association of Japan			OFFICIAL_SERIES_OVERVIEW	https://scaj.org/activity/competitions/jsc/jsc-overview	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Series launch and purpose verified; current edition archive remains limited
source:toh_program	SOURCE_ACCESS_ROUTE	series:taste_of_harvest	taste_of_harvest	toh_official	African Fine Coffees Association			OFFICIAL_PROGRAM_PAGE	https://afca.coffee/programs/taste-of-harvest/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Current 2025/26 national program and contact route; organizer totals are not acquired-record counts
source:toh_results	SOURCE_ACCESS_ROUTE	series:taste_of_harvest	taste_of_harvest	toh_results	African Fine Coffees Association			OFFICIAL_RESULTS_PORTAL	https://afca.coffee/toh-results-page/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_RESULTS_PORTAL	UNKNOWN	NOT_ATTEMPTED	Regional and national year/country/coffee-type filters; no results imported
source:toh_tenders	SOURCE_ACCESS_ROUTE	series:taste_of_harvest	taste_of_harvest	toh_rules	African Fine Coffees Association			OFFICIAL_PROGRAM_TENDERS	https://afca.coffee/about-us/tenders-afca/	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_WEB_PAGE	UNKNOWN	NOT_ATTEMPTED	Official 2025/26 tenders confirm multiple judging rounds and national/international panels
source:wcc_cb_events_calendar	SOURCE_ACCESS_ROUTE	series:wcc_competition_body_registry	wcc_competition_body_registry	wcc_competition_bodies	World Coffee Championships			OFFICIAL_EVENT_CALENDAR	https://airtable.com/embed/app1pNznDyJVzVef1/shr7oA61CVIwltOYg?viewControls=on	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_EMBEDDED_CALENDAR	UNKNOWN	NOT_ATTEMPTED	Current-month event cards supplied partial competition-type evidence for eight bodies; not a historical results census
source:wcc_cb_rec0zgr8vngzfsqhw	SOURCE_ACCESS_ROUTE	series:wcc_competition_body_registry	wcc_competition_body_registry	wcc_cb_family_rec0zgr8vngzfsqhw	Instituto Hondureño De Cafe / Cafe De Honduras			WCC_COMPETITION_BODY_REGISTRY_RECORD	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec0zGR8VnGZfSQhw	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	NOT_ATTEMPTED	country_or_community=Honduras; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Instituto Hondureño De Cafe / Cafe De Honduras
source:wcc_cb_rec21urnlnue16imu	SOURCE_ACCESS_ROUTE	series:wcc_competition_body_registry	wcc_competition_body_registry	wcc_cb_family_rec21urnlnue16imu	Consejo Salvadoreño del Café			WCC_COMPETITION_BODY_REGISTRY_RECORD	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec21UrnlNue16IMu	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	NOT_ATTEMPTED	country_or_community=El Salvador; designation=WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=Consejo Salvadoreño del Café
source:wcc_cb_rec2yd5roxsvgmby5	SOURCE_ACCESS_ROUTE	series:wcc_competition_body_registry	wcc_competition_body_registry	wcc_cb_family_rec2yd5roxsvgmby5	SCA Greece Chapter			WCC_COMPETITION_BODY_REGISTRY_RECORD	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec2Yd5ROXsVgMbY5	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	NOT_ATTEMPTED	country_or_community=Greece; designation=SCA Chapter|WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=SCA Greece Chapter
source:wcc_cb_rec3gfr83yrfthhh3	SOURCE_ACCESS_ROUTE	series:wcc_competition_body_registry	wcc_competition_body_registry	wcc_cb_family_rec3gfr83yrfthhh3	SCA Ireland Chapter			WCC_COMPETITION_BODY_REGISTRY_RECORD	https://airtable.com/embed/appjRsUGjK5F1R8Tt/shrWGey830MHuOMo4/tblijptgfTzvmineL/viwMGdiJKXWCOp2ec/rec3GFr83yRftHhH3	ROUND3K_RECONCILED_ACCESS_MATRIX		DISCOVERED	PUBLIC_REGISTRY_METADATA_ONLY	UNKNOWN	NOT_ATTEMPTED	country_or_community=Ireland; designation=SCA Chapter|WCE Competition Body; competition_types=UNKNOWN_NOT_ENUMERATED; years_available=UNKNOWN; public_results=UNKNOWN; scoresheet_availability=UNKNOWN; data_custodian=SCA Ireland Chapter
