presentation_slot_key	session_slot_key	beverage_sample_key	sequence_position	blinded_code
pilot.round3d.session_slot.reference.assessor_001.session_06.position_05	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_2	5	626
pilot.round3d.session_slot.reference.assessor_001.session_06.position_06	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.medium.hybrid.rep_1	6	423
pilot.round3d.session_slot.reference.assessor_001.session_06.position_07	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_02.light.espresso_pressure.rep_1	7	140
pilot.round3d.session_slot.reference.assessor_001.session_06.position_08	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_2	8	603
pilot.round3d.session_slot.reference.assessor_001.session_06.position_09	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_1	9	805
pilot.round3d.session_slot.reference.assessor_001.session_06.position_10	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_1	10	213
pilot.round3d.session_slot.reference.assessor_001.session_06.position_11	pilot.round3d.session_slot.reference.assessor_001.session_06	pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_2	11	877
pilot.round3d.session_slot.reference.assessor_002.session_01.position_01	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_02.medium.filter_percolation.rep_1	1	706
pilot.round3d.session_slot.reference.assessor_002.session_01.position_02	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_02.dark.immersion.rep_1	2	496
pilot.round3d.session_slot.reference.assessor_002.session_01.position_03	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_2	3	164
pilot.round3d.session_slot.reference.assessor_002.session_01.position_04	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_1	4	114
pilot.round3d.session_slot.reference.assessor_002.session_01.position_05	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_2	5	135
pilot.round3d.session_slot.reference.assessor_002.session_01.position_06	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_1	6	765
pilot.round3d.session_slot.reference.assessor_002.session_01.position_07	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_2	7	167
pilot.round3d.session_slot.reference.assessor_002.session_01.position_08	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_1	8	120
pilot.round3d.session_slot.reference.assessor_002.session_01.position_09	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_2	9	954
pilot.round3d.session_slot.reference.assessor_002.session_01.position_10	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_2	10	653
pilot.round3d.session_slot.reference.assessor_002.session_01.position_11	pilot.round3d.session_slot.reference.assessor_002.session_01	pilot.round3d.sample.lot_02.light.cold_extraction.rep_1	11	837
pilot.round3d.session_slot.reference.assessor_002.session_02.position_01	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.light.filter_percolation.rep_2	1	266
pilot.round3d.session_slot.reference.assessor_002.session_02.position_02	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_1	2	324
pilot.round3d.session_slot.reference.assessor_002.session_02.position_03	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.light.immersion.rep_2	3	428
pilot.round3d.session_slot.reference.assessor_002.session_02.position_04	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_2	4	941
pilot.round3d.session_slot.reference.assessor_002.session_02.position_05	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.medium.filter_percolation.rep_2	5	352
pilot.round3d.session_slot.reference.assessor_002.session_02.position_06	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_2	6	794
pilot.round3d.session_slot.reference.assessor_002.session_02.position_07	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_1	7	280
pilot.round3d.session_slot.reference.assessor_002.session_02.position_08	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_2	8	377
pilot.round3d.session_slot.reference.assessor_002.session_02.position_09	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.light.diluted_espresso.rep_1	9	242
pilot.round3d.session_slot.reference.assessor_002.session_02.position_10	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.medium.espresso_milk.rep_2	10	437
pilot.round3d.session_slot.reference.assessor_002.session_02.position_11	pilot.round3d.session_slot.reference.assessor_002.session_02	pilot.round3d.sample.lot_01.dark.immersion.rep_1	11	828
pilot.round3d.session_slot.reference.assessor_002.session_03.position_01	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_1	1	536
pilot.round3d.session_slot.reference.assessor_002.session_03.position_02	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_1	2	789
pilot.round3d.session_slot.reference.assessor_002.session_03.position_03	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_1	3	381
pilot.round3d.session_slot.reference.assessor_002.session_03.position_04	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.light.hybrid.rep_2	4	648
pilot.round3d.session_slot.reference.assessor_002.session_03.position_05	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.dark.filter_percolation.rep_2	5	379
pilot.round3d.session_slot.reference.assessor_002.session_03.position_06	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.medium.filter_percolation.rep_2	6	259
pilot.round3d.session_slot.reference.assessor_002.session_03.position_07	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_1	7	873
pilot.round3d.session_slot.reference.assessor_002.session_03.position_08	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_01.medium.immersion.rep_1	8	260
pilot.round3d.session_slot.reference.assessor_002.session_03.position_09	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_1	9	986
pilot.round3d.session_slot.reference.assessor_002.session_03.position_10	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_02.dark.cold_extraction.rep_1	10	222
pilot.round3d.session_slot.reference.assessor_002.session_03.position_11	pilot.round3d.session_slot.reference.assessor_002.session_03	pilot.round3d.sample.lot_01.light.espresso_milk.rep_2	11	162
pilot.round3d.session_slot.reference.assessor_002.session_04.position_01	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_1	1	733
pilot.round3d.session_slot.reference.assessor_002.session_04.position_02	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_02.dark.espresso_milk.rep_1	2	811
pilot.round3d.session_slot.reference.assessor_002.session_04.position_03	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.dark.espresso_milk.rep_1	3	622
pilot.round3d.session_slot.reference.assessor_002.session_04.position_04	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.medium_light.immersion.rep_1	4	451
pilot.round3d.session_slot.reference.assessor_002.session_04.position_05	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_02.medium.diluted_espresso.rep_2	5	995
pilot.round3d.session_slot.reference.assessor_002.session_04.position_06	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_1	6	976
pilot.round3d.session_slot.reference.assessor_002.session_04.position_07	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_02.dark.espresso_milk.rep_2	7	680
pilot.round3d.session_slot.reference.assessor_002.session_04.position_08	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_2	8	564
pilot.round3d.session_slot.reference.assessor_002.session_04.position_09	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_02.medium.immersion.rep_2	9	100
pilot.round3d.session_slot.reference.assessor_002.session_04.position_10	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.light.espresso_milk.rep_1	10	530
pilot.round3d.session_slot.reference.assessor_002.session_04.position_11	pilot.round3d.session_slot.reference.assessor_002.session_04	pilot.round3d.sample.lot_01.dark.cold_extraction.rep_2	11	866
pilot.round3d.session_slot.reference.assessor_002.session_05.position_01	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_1	1	884
pilot.round3d.session_slot.reference.assessor_002.session_05.position_02	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.dark.hybrid.rep_1	2	105
pilot.round3d.session_slot.reference.assessor_002.session_05.position_03	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_02.light.immersion.rep_1	3	890
pilot.round3d.session_slot.reference.assessor_002.session_05.position_04	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_02.dark.filter_percolation.rep_1	4	535
pilot.round3d.session_slot.reference.assessor_002.session_05.position_05	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.dark.immersion.rep_2	5	851
pilot.round3d.session_slot.reference.assessor_002.session_05.position_06	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_2	6	686
pilot.round3d.session_slot.reference.assessor_002.session_05.position_07	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.light.cold_extraction.rep_1	7	206
pilot.round3d.session_slot.reference.assessor_002.session_05.position_08	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.medium.cold_extraction.rep_1	8	621
pilot.round3d.session_slot.reference.assessor_002.session_05.position_09	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_02.dark.immersion.rep_2	9	430
pilot.round3d.session_slot.reference.assessor_002.session_05.position_10	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_1	10	549
pilot.round3d.session_slot.reference.assessor_002.session_05.position_11	pilot.round3d.session_slot.reference.assessor_002.session_05	pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_2	11	427
pilot.round3d.session_slot.reference.assessor_002.session_06.position_01	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.light.espresso_milk.rep_2	1	453
pilot.round3d.session_slot.reference.assessor_002.session_06.position_02	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_01.light.diluted_espresso.rep_2	2	825
pilot.round3d.session_slot.reference.assessor_002.session_06.position_03	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_01.dark.filter_percolation.rep_1	3	104
pilot.round3d.session_slot.reference.assessor_002.session_06.position_04	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.light.espresso_milk.rep_1	4	346
pilot.round3d.session_slot.reference.assessor_002.session_06.position_05	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_1	5	234
pilot.round3d.session_slot.reference.assessor_002.session_06.position_06	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_2	6	562
pilot.round3d.session_slot.reference.assessor_002.session_06.position_07	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_01.light.hybrid.rep_2	7	697
pilot.round3d.session_slot.reference.assessor_002.session_06.position_08	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_1	8	533
pilot.round3d.session_slot.reference.assessor_002.session_06.position_09	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_02.dark.hybrid.rep_1	9	824
pilot.round3d.session_slot.reference.assessor_002.session_06.position_10	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_01.medium.immersion.rep_2	10	349
pilot.round3d.session_slot.reference.assessor_002.session_06.position_11	pilot.round3d.session_slot.reference.assessor_002.session_06	pilot.round3d.sample.lot_01.medium_light.immersion.rep_2	11	441
pilot.round3d.session_slot.reference.assessor_003.session_01.position_01	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_2	1	229
pilot.round3d.session_slot.reference.assessor_003.session_01.position_02	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_2	2	394
pilot.round3d.session_slot.reference.assessor_003.session_01.position_03	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.dark.filter_percolation.rep_2	3	896
pilot.round3d.session_slot.reference.assessor_003.session_01.position_04	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_02.medium.hybrid.rep_1	4	752
pilot.round3d.session_slot.reference.assessor_003.session_01.position_05	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_1	5	763
pilot.round3d.session_slot.reference.assessor_003.session_01.position_06	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_02.medium.hybrid.rep_2	6	669
pilot.round3d.session_slot.reference.assessor_003.session_01.position_07	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.dark.espresso_milk.rep_2	7	152
pilot.round3d.session_slot.reference.assessor_003.session_01.position_08	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_02.medium_light.immersion.rep_2	8	930
pilot.round3d.session_slot.reference.assessor_003.session_01.position_09	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.medium.hybrid.rep_2	9	115
pilot.round3d.session_slot.reference.assessor_003.session_01.position_10	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_02.medium.cold_extraction.rep_1	10	383
pilot.round3d.session_slot.reference.assessor_003.session_01.position_11	pilot.round3d.session_slot.reference.assessor_003.session_01	pilot.round3d.sample.lot_01.light.immersion.rep_1	11	265
pilot.round3d.session_slot.reference.assessor_003.session_02.position_01	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_01.dark.hybrid.rep_2	1	269
pilot.round3d.session_slot.reference.assessor_003.session_02.position_02	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_2	2	733
pilot.round3d.session_slot.reference.assessor_003.session_02.position_03	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_2	3	550
pilot.round3d.session_slot.reference.assessor_003.session_02.position_04	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_01.light.hybrid.rep_1	4	565
pilot.round3d.session_slot.reference.assessor_003.session_02.position_05	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_1	5	732
pilot.round3d.session_slot.reference.assessor_003.session_02.position_06	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_02.extremely_light.immersion.rep_2	6	404
pilot.round3d.session_slot.reference.assessor_003.session_02.position_07	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_02.light.hybrid.rep_1	7	368
pilot.round3d.session_slot.reference.assessor_003.session_02.position_08	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_01.light.cold_extraction.rep_2	8	446
pilot.round3d.session_slot.reference.assessor_003.session_02.position_09	pilot.round3d.session_slot.reference.assessor_003.session_02	pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_2	9	754
