session_slot_key	cohort_code	assessor_slot_code	session_number	sample_burden
pilot.round3d.session_slot.reference.assessor_005.session_01	reference	REFERENCE_SLOT_005	1	11
pilot.round3d.session_slot.reference.assessor_005.session_02	reference	REFERENCE_SLOT_005	2	11
pilot.round3d.session_slot.reference.assessor_005.session_03	reference	REFERENCE_SLOT_005	3	11
pilot.round3d.session_slot.reference.assessor_005.session_04	reference	REFERENCE_SLOT_005	4	11
pilot.round3d.session_slot.reference.assessor_005.session_05	reference	REFERENCE_SLOT_005	5	11
pilot.round3d.session_slot.reference.assessor_005.session_06	reference	REFERENCE_SLOT_005	6	11
pilot.round3d.session_slot.reference.assessor_006.session_01	reference	REFERENCE_SLOT_006	1	11
pilot.round3d.session_slot.reference.assessor_006.session_02	reference	REFERENCE_SLOT_006	2	11
pilot.round3d.session_slot.reference.assessor_006.session_03	reference	REFERENCE_SLOT_006	3	11
pilot.round3d.session_slot.reference.assessor_006.session_04	reference	REFERENCE_SLOT_006	4	11
pilot.round3d.session_slot.reference.assessor_006.session_05	reference	REFERENCE_SLOT_006	5	11
pilot.round3d.session_slot.reference.assessor_006.session_06	reference	REFERENCE_SLOT_006	6	11
pilot.round3d.session_slot.reference.assessor_007.session_01	reference	REFERENCE_SLOT_007	1	11
pilot.round3d.session_slot.reference.assessor_007.session_02	reference	REFERENCE_SLOT_007	2	11
pilot.round3d.session_slot.reference.assessor_007.session_03	reference	REFERENCE_SLOT_007	3	11
pilot.round3d.session_slot.reference.assessor_007.session_04	reference	REFERENCE_SLOT_007	4	11
pilot.round3d.session_slot.reference.assessor_007.session_05	reference	REFERENCE_SLOT_007	5	11
pilot.round3d.session_slot.reference.assessor_007.session_06	reference	REFERENCE_SLOT_007	6	11
pilot.round3d.session_slot.reference.assessor_008.session_01	reference	REFERENCE_SLOT_008	1	11
pilot.round3d.session_slot.reference.assessor_008.session_02	reference	REFERENCE_SLOT_008	2	11
pilot.round3d.session_slot.reference.assessor_008.session_03	reference	REFERENCE_SLOT_008	3	11
pilot.round3d.session_slot.reference.assessor_008.session_04	reference	REFERENCE_SLOT_008	4	11
pilot.round3d.session_slot.reference.assessor_008.session_05	reference	REFERENCE_SLOT_008	5	11
pilot.round3d.session_slot.reference.assessor_008.session_06	reference	REFERENCE_SLOT_008	6	11
pilot.round3d.session_slot.reference.assessor_009.session_01	reference	REFERENCE_SLOT_009	1	11
pilot.round3d.session_slot.reference.assessor_009.session_02	reference	REFERENCE_SLOT_009	2	11
pilot.round3d.session_slot.reference.assessor_009.session_03	reference	REFERENCE_SLOT_009	3	11
pilot.round3d.session_slot.reference.assessor_009.session_04	reference	REFERENCE_SLOT_009	4	11
pilot.round3d.session_slot.reference.assessor_009.session_05	reference	REFERENCE_SLOT_009	5	11
pilot.round3d.session_slot.reference.assessor_009.session_06	reference	REFERENCE_SLOT_009	6	11
pilot.round3d.session_slot.reference.assessor_010.session_01	reference	REFERENCE_SLOT_010	1	11
pilot.round3d.session_slot.reference.assessor_010.session_02	reference	REFERENCE_SLOT_010	2	11
pilot.round3d.session_slot.reference.assessor_010.session_03	reference	REFERENCE_SLOT_010	3	11
pilot.round3d.session_slot.reference.assessor_010.session_04	reference	REFERENCE_SLOT_010	4	11
pilot.round3d.session_slot.reference.assessor_010.session_05	reference	REFERENCE_SLOT_010	5	11
pilot.round3d.session_slot.reference.assessor_010.session_06	reference	REFERENCE_SLOT_010	6	11
pilot.round3d.session_slot.reference.assessor_011.session_01	reference	REFERENCE_SLOT_011	1	11
pilot.round3d.session_slot.reference.assessor_011.session_02	reference	REFERENCE_SLOT_011	2	11
pilot.round3d.session_slot.reference.assessor_011.session_03	reference	REFERENCE_SLOT_011	3	11
pilot.round3d.session_slot.reference.assessor_011.session_04	reference	REFERENCE_SLOT_011	4	11
pilot.round3d.session_slot.reference.assessor_011.session_05	reference	REFERENCE_SLOT_011	5	11
pilot.round3d.session_slot.reference.assessor_011.session_06	reference	REFERENCE_SLOT_011	6	11
pilot.round3d.session_slot.reference.assessor_012.session_01	reference	REFERENCE_SLOT_012	1	11
pilot.round3d.session_slot.reference.assessor_012.session_02	reference	REFERENCE_SLOT_012	2	11
pilot.round3d.session_slot.reference.assessor_012.session_03	reference	REFERENCE_SLOT_012	3	11
pilot.round3d.session_slot.reference.assessor_012.session_04	reference	REFERENCE_SLOT_012	4	11
pilot.round3d.session_slot.reference.assessor_012.session_05	reference	REFERENCE_SLOT_012	5	11
pilot.round3d.session_slot.reference.assessor_012.session_06	reference	REFERENCE_SLOT_012	6	11
pilot.round3d.session_slot.ordinary_user.assessor_001.session_01	ordinary_user	ORDINARY_USER_SLOT_001	1	6
pilot.round3d.session_slot.ordinary_user.assessor_001.session_02	ordinary_user	ORDINARY_USER_SLOT_001	2	6
pilot.round3d.session_slot.ordinary_user.assessor_002.session_01	ordinary_user	ORDINARY_USER_SLOT_002	1	6
pilot.round3d.session_slot.ordinary_user.assessor_002.session_02	ordinary_user	ORDINARY_USER_SLOT_002	2	6
pilot.round3d.session_slot.ordinary_user.assessor_003.session_01	ordinary_user	ORDINARY_USER_SLOT_003	1	6
pilot.round3d.session_slot.ordinary_user.assessor_003.session_02	ordinary_user	ORDINARY_USER_SLOT_003	2	6
pilot.round3d.session_slot.ordinary_user.assessor_004.session_01	ordinary_user	ORDINARY_USER_SLOT_004	1	6
pilot.round3d.session_slot.ordinary_user.assessor_004.session_02	ordinary_user	ORDINARY_USER_SLOT_004	2	6
pilot.round3d.session_slot.ordinary_user.assessor_005.session_01	ordinary_user	ORDINARY_USER_SLOT_005	1	6
pilot.round3d.session_slot.ordinary_user.assessor_005.session_02	ordinary_user	ORDINARY_USER_SLOT_005	2	6
pilot.round3d.session_slot.ordinary_user.assessor_006.session_01	ordinary_user	ORDINARY_USER_SLOT_006	1	6
pilot.round3d.session_slot.ordinary_user.assessor_006.session_02	ordinary_user	ORDINARY_USER_SLOT_006	2	6
pilot.round3d.session_slot.ordinary_user.assessor_007.session_01	ordinary_user	ORDINARY_USER_SLOT_007	1	6
pilot.round3d.session_slot.ordinary_user.assessor_007.session_02	ordinary_user	ORDINARY_USER_SLOT_007	2	6
pilot.round3d.session_slot.ordinary_user.assessor_008.session_01	ordinary_user	ORDINARY_USER_SLOT_008	1	6
pilot.round3d.session_slot.ordinary_user.assessor_008.session_02	ordinary_user	ORDINARY_USER_SLOT_008	2	6
pilot.round3d.session_slot.ordinary_user.assessor_009.session_01	ordinary_user	ORDINARY_USER_SLOT_009	1	6
pilot.round3d.session_slot.ordinary_user.assessor_009.session_02	ordinary_user	ORDINARY_USER_SLOT_009	2	6
pilot.round3d.session_slot.ordinary_user.assessor_010.session_01	ordinary_user	ORDINARY_USER_SLOT_010	1	6
pilot.round3d.session_slot.ordinary_user.assessor_010.session_02	ordinary_user	ORDINARY_USER_SLOT_010	2	6
pilot.round3d.session_slot.ordinary_user.assessor_011.session_01	ordinary_user	ORDINARY_USER_SLOT_011	1	6
pilot.round3d.session_slot.ordinary_user.assessor_011.session_02	ordinary_user	ORDINARY_USER_SLOT_011	2	6
pilot.round3d.session_slot.ordinary_user.assessor_012.session_01	ordinary_user	ORDINARY_USER_SLOT_012	1	6
pilot.round3d.session_slot.ordinary_user.assessor_012.session_02	ordinary_user	ORDINARY_USER_SLOT_012	2	6
pilot.round3d.session_slot.ordinary_user.assessor_013.session_01	ordinary_user	ORDINARY_USER_SLOT_013	1	6
pilot.round3d.session_slot.ordinary_user.assessor_013.session_02	ordinary_user	ORDINARY_USER_SLOT_013	2	6
pilot.round3d.session_slot.ordinary_user.assessor_014.session_01	ordinary_user	ORDINARY_USER_SLOT_014	1	6
pilot.round3d.session_slot.ordinary_user.assessor_014.session_02	ordinary_user	ORDINARY_USER_SLOT_014	2	6
pilot.round3d.session_slot.ordinary_user.assessor_015.session_01	ordinary_user	ORDINARY_USER_SLOT_015	1	6
pilot.round3d.session_slot.ordinary_user.assessor_015.session_02	ordinary_user	ORDINARY_USER_SLOT_015	2	6
pilot.round3d.session_slot.ordinary_user.assessor_016.session_01	ordinary_user	ORDINARY_USER_SLOT_016	1	6
pilot.round3d.session_slot.ordinary_user.assessor_016.session_02	ordinary_user	ORDINARY_USER_SLOT_016	2	6
pilot.round3d.session_slot.ordinary_user.assessor_017.session_01	ordinary_user	ORDINARY_USER_SLOT_017	1	6
pilot.round3d.session_slot.ordinary_user.assessor_017.session_02	ordinary_user	ORDINARY_USER_SLOT_017	2	6
pilot.round3d.session_slot.ordinary_user.assessor_018.session_01	ordinary_user	ORDINARY_USER_SLOT_018	1	6
pilot.round3d.session_slot.ordinary_user.assessor_018.session_02	ordinary_user	ORDINARY_USER_SLOT_018	2	6
pilot.round3d.session_slot.ordinary_user.assessor_019.session_01	ordinary_user	ORDINARY_USER_SLOT_019	1	6
pilot.round3d.session_slot.ordinary_user.assessor_019.session_02	ordinary_user	ORDINARY_USER_SLOT_019	2	6
pilot.round3d.session_slot.ordinary_user.assessor_020.session_01	ordinary_user	ORDINARY_USER_SLOT_020	1	6
pilot.round3d.session_slot.ordinary_user.assessor_020.session_02	ordinary_user	ORDINARY_USER_SLOT_020	2	6
pilot.round3d.session_slot.ordinary_user.assessor_021.session_01	ordinary_user	ORDINARY_USER_SLOT_021	1	6
pilot.round3d.session_slot.ordinary_user.assessor_021.session_02	ordinary_user	ORDINARY_USER_SLOT_021	2	6
pilot.round3d.session_slot.ordinary_user.assessor_022.session_01	ordinary_user	ORDINARY_USER_SLOT_022	1	6
pilot.round3d.session_slot.ordinary_user.assessor_022.session_02	ordinary_user	ORDINARY_USER_SLOT_022	2	6
pilot.round3d.session_slot.ordinary_user.assessor_023.session_01	ordinary_user	ORDINARY_USER_SLOT_023	1	6
pilot.round3d.session_slot.ordinary_user.assessor_023.session_02	ordinary_user	ORDINARY_USER_SLOT_023	2	6
pilot.round3d.session_slot.ordinary_user.assessor_024.session_01	ordinary_user	ORDINARY_USER_SLOT_024	1	6
pilot.round3d.session_slot.ordinary_user.assessor_024.session_02	ordinary_user	ORDINARY_USER_SLOT_024	2	6
pilot.round3d.session_slot.ordinary_user.assessor_025.session_01	ordinary_user	ORDINARY_USER_SLOT_025	1	6
pilot.round3d.session_slot.ordinary_user.assessor_025.session_02	ordinary_user	ORDINARY_USER_SLOT_025	2	6
pilot.round3d.session_slot.ordinary_user.assessor_026.session_01	ordinary_user	ORDINARY_USER_SLOT_026	1	6
pilot.round3d.session_slot.ordinary_user.assessor_026.session_02	ordinary_user	ORDINARY_USER_SLOT_026	2	6
pilot.round3d.session_slot.ordinary_user.assessor_027.session_01	ordinary_user	ORDINARY_USER_SLOT_027	1	6
pilot.round3d.session_slot.ordinary_user.assessor_027.session_02	ordinary_user	ORDINARY_USER_SLOT_027	2	6
pilot.round3d.session_slot.ordinary_user.assessor_028.session_01	ordinary_user	ORDINARY_USER_SLOT_028	1	6
pilot.round3d.session_slot.ordinary_user.assessor_028.session_02	ordinary_user	ORDINARY_USER_SLOT_028	2	6
pilot.round3d.session_slot.ordinary_user.assessor_029.session_01	ordinary_user	ORDINARY_USER_SLOT_029	1	6
pilot.round3d.session_slot.ordinary_user.assessor_029.session_02	ordinary_user	ORDINARY_USER_SLOT_029	2	6
pilot.round3d.session_slot.ordinary_user.assessor_030.session_01	ordinary_user	ORDINARY_USER_SLOT_030	1	6
pilot.round3d.session_slot.ordinary_user.assessor_030.session_02	ordinary_user	ORDINARY_USER_SLOT_030	2	6
pilot.round3d.session_slot.ordinary_user.assessor_031.session_01	ordinary_user	ORDINARY_USER_SLOT_031	1	6
pilot.round3d.session_slot.ordinary_user.assessor_031.session_02	ordinary_user	ORDINARY_USER_SLOT_031	2	6
pilot.round3d.session_slot.ordinary_user.assessor_032.session_01	ordinary_user	ORDINARY_USER_SLOT_032	1	6
pilot.round3d.session_slot.ordinary_user.assessor_032.session_02	ordinary_user	ORDINARY_USER_SLOT_032	2	6
pilot.round3d.session_slot.ordinary_user.assessor_033.session_01	ordinary_user	ORDINARY_USER_SLOT_033	1	6
pilot.round3d.session_slot.ordinary_user.assessor_033.session_02	ordinary_user	ORDINARY_USER_SLOT_033	2	6
pilot.round3d.session_slot.ordinary_user.assessor_034.session_01	ordinary_user	ORDINARY_USER_SLOT_034	1	6
pilot.round3d.session_slot.ordinary_user.assessor_034.session_02	ordinary_user	ORDINARY_USER_SLOT_034	2	6
pilot.round3d.session_slot.ordinary_user.assessor_035.session_01	ordinary_user	ORDINARY_USER_SLOT_035	1	6
pilot.round3d.session_slot.ordinary_user.assessor_035.session_02	ordinary_user	ORDINARY_USER_SLOT_035	2	6
pilot.round3d.session_slot.ordinary_user.assessor_036.session_01	ordinary_user	ORDINARY_USER_SLOT_036	1	6
pilot.round3d.session_slot.ordinary_user.assessor_036.session_02	ordinary_user	ORDINARY_USER_SLOT_036	2	6
pilot.round3d.session_slot.ordinary_user.assessor_037.session_01	ordinary_user	ORDINARY_USER_SLOT_037	1	6
pilot.round3d.session_slot.ordinary_user.assessor_037.session_02	ordinary_user	ORDINARY_USER_SLOT_037	2	6
pilot.round3d.session_slot.ordinary_user.assessor_038.session_01	ordinary_user	ORDINARY_USER_SLOT_038	1	6
pilot.round3d.session_slot.ordinary_user.assessor_038.session_02	ordinary_user	ORDINARY_USER_SLOT_038	2	6
pilot.round3d.session_slot.ordinary_user.assessor_039.session_01	ordinary_user	ORDINARY_USER_SLOT_039	1	6
pilot.round3d.session_slot.ordinary_user.assessor_039.session_02	ordinary_user	ORDINARY_USER_SLOT_039	2	6
pilot.round3d.session_slot.ordinary_user.assessor_040.session_01	ordinary_user	ORDINARY_USER_SLOT_040	1	6
pilot.round3d.session_slot.ordinary_user.assessor_040.session_02	ordinary_user	ORDINARY_USER_SLOT_040	2	6
pilot.round3d.session_slot.ordinary_user.assessor_041.session_01	ordinary_user	ORDINARY_USER_SLOT_041	1	6
pilot.round3d.session_slot.ordinary_user.assessor_041.session_02	ordinary_user	ORDINARY_USER_SLOT_041	2	6
pilot.round3d.session_slot.ordinary_user.assessor_042.session_01	ordinary_user	ORDINARY_USER_SLOT_042	1	6
pilot.round3d.session_slot.ordinary_user.assessor_042.session_02	ordinary_user	ORDINARY_USER_SLOT_042	2	6
pilot.round3d.session_slot.ordinary_user.assessor_043.session_01	ordinary_user	ORDINARY_USER_SLOT_043	1	6
pilot.round3d.session_slot.ordinary_user.assessor_043.session_02	ordinary_user	ORDINARY_USER_SLOT_043	2	6
pilot.round3d.session_slot.ordinary_user.assessor_044.session_01	ordinary_user	ORDINARY_USER_SLOT_044	1	6
pilot.round3d.session_slot.ordinary_user.assessor_044.session_02	ordinary_user	ORDINARY_USER_SLOT_044	2	6
pilot.round3d.session_slot.ordinary_user.assessor_045.session_01	ordinary_user	ORDINARY_USER_SLOT_045	1	6
pilot.round3d.session_slot.ordinary_user.assessor_045.session_02	ordinary_user	ORDINARY_USER_SLOT_045	2	6
pilot.round3d.session_slot.ordinary_user.assessor_046.session_01	ordinary_user	ORDINARY_USER_SLOT_046	1	6
pilot.round3d.session_slot.ordinary_user.assessor_046.session_02	ordinary_user	ORDINARY_USER_SLOT_046	2	6
pilot.round3d.session_slot.ordinary_user.assessor_047.session_01	ordinary_user	ORDINARY_USER_SLOT_047	1	6
pilot.round3d.session_slot.ordinary_user.assessor_047.session_02	ordinary_user	ORDINARY_USER_SLOT_047	2	6
pilot.round3d.session_slot.ordinary_user.assessor_048.session_01	ordinary_user	ORDINARY_USER_SLOT_048	1	6
pilot.round3d.session_slot.ordinary_user.assessor_048.session_02	ordinary_user	ORDINARY_USER_SLOT_048	2	6
pilot.round3d.session_slot.ordinary_user.assessor_049.session_01	ordinary_user	ORDINARY_USER_SLOT_049	1	6
pilot.round3d.session_slot.ordinary_user.assessor_049.session_02	ordinary_user	ORDINARY_USER_SLOT_049	2	6
pilot.round3d.session_slot.ordinary_user.assessor_050.session_01	ordinary_user	ORDINARY_USER_SLOT_050	1	6
pilot.round3d.session_slot.ordinary_user.assessor_050.session_02	ordinary_user	ORDINARY_USER_SLOT_050	2	6
pilot.round3d.session_slot.ordinary_user.assessor_051.session_01	ordinary_user	ORDINARY_USER_SLOT_051	1	6
pilot.round3d.session_slot.ordinary_user.assessor_051.session_02	ordinary_user	ORDINARY_USER_SLOT_051	2	6
pilot.round3d.session_slot.ordinary_user.assessor_052.session_01	ordinary_user	ORDINARY_USER_SLOT_052	1	6
pilot.round3d.session_slot.ordinary_user.assessor_052.session_02	ordinary_user	ORDINARY_USER_SLOT_052	2	6
pilot.round3d.session_slot.ordinary_user.assessor_053.session_01	ordinary_user	ORDINARY_USER_SLOT_053	1	6
pilot.round3d.session_slot.ordinary_user.assessor_053.session_02	ordinary_user	ORDINARY_USER_SLOT_053	2	6
pilot.round3d.session_slot.ordinary_user.assessor_054.session_01	ordinary_user	ORDINARY_USER_SLOT_054	1	6
pilot.round3d.session_slot.ordinary_user.assessor_054.session_02	ordinary_user	ORDINARY_USER_SLOT_054	2	6
pilot.round3d.session_slot.ordinary_user.assessor_055.session_01	ordinary_user	ORDINARY_USER_SLOT_055	1	6
pilot.round3d.session_slot.ordinary_user.assessor_055.session_02	ordinary_user	ORDINARY_USER_SLOT_055	2	6
pilot.round3d.session_slot.ordinary_user.assessor_056.session_01	ordinary_user	ORDINARY_USER_SLOT_056	1	6
pilot.round3d.session_slot.ordinary_user.assessor_056.session_02	ordinary_user	ORDINARY_USER_SLOT_056	2	6
pilot.round3d.session_slot.ordinary_user.assessor_057.session_01	ordinary_user	ORDINARY_USER_SLOT_057	1	6
pilot.round3d.session_slot.ordinary_user.assessor_057.session_02	ordinary_user	ORDINARY_USER_SLOT_057	2	6
pilot.round3d.session_slot.ordinary_user.assessor_058.session_01	ordinary_user	ORDINARY_USER_SLOT_058	1	6
pilot.round3d.session_slot.ordinary_user.assessor_058.session_02	ordinary_user	ORDINARY_USER_SLOT_058	2	6
pilot.round3d.session_slot.ordinary_user.assessor_059.session_01	ordinary_user	ORDINARY_USER_SLOT_059	1	6
pilot.round3d.session_slot.ordinary_user.assessor_059.session_02	ordinary_user	ORDINARY_USER_SLOT_059	2	6
pilot.round3d.session_slot.ordinary_user.assessor_060.session_01	ordinary_user	ORDINARY_USER_SLOT_060	1	6
pilot.round3d.session_slot.ordinary_user.assessor_060.session_02	ordinary_user	ORDINARY_USER_SLOT_060	2	6
