beverage_sample_key	coffee_lot_key	roast_batch_key	preparation_condition_key	replicate_number	record_origin_code
pilot.round3d.sample.lot_01.medium.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium_dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.extremely_dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_01.light.hybrid.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_01.light.hybrid.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_01.light.diluted_espresso.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_01.light.diluted_espresso.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_01.light.cold_extraction.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_01.light.cold_extraction.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_01.light.espresso_milk.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_01.light.espresso_milk.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.light	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.hybrid.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.hybrid.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.cold_extraction.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.cold_extraction.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_01.medium.espresso_milk.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_01.medium.espresso_milk.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.medium	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.hybrid.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.hybrid.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.cold_extraction.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.cold_extraction.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_01.dark.espresso_milk.rep_1	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_01.dark.espresso_milk.rep_2	pilot.round3d.lot_01	pilot.round3d.lot_01.roast.dark	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.light.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.light.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.light.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.light.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.light.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.light.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_light	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium_dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.filter_percolation	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.filter_percolation	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.immersion	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.immersion	2	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.espresso_pressure	1	planned_real_sample
pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.extremely_dark	pilot.round3d.preparation.espresso_pressure	2	planned_real_sample
pilot.round3d.sample.lot_02.light.hybrid.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_02.light.hybrid.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_02.light.diluted_espresso.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_02.light.diluted_espresso.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_02.light.cold_extraction.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_02.light.cold_extraction.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_02.light.espresso_milk.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_02.light.espresso_milk.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.light	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.hybrid.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.hybrid.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.diluted_espresso.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.diluted_espresso.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.cold_extraction.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.cold_extraction.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_02.medium.espresso_milk.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_02.medium.espresso_milk.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.medium	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.hybrid.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.hybrid	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.hybrid.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.hybrid	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.diluted_espresso	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.diluted_espresso	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.cold_extraction.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.cold_extraction	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.cold_extraction.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.cold_extraction	2	planned_real_sample
pilot.round3d.sample.lot_02.dark.espresso_milk.rep_1	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.espresso_milk	1	planned_real_sample
pilot.round3d.sample.lot_02.dark.espresso_milk.rep_2	pilot.round3d.lot_02	pilot.round3d.lot_02.roast.dark	pilot.round3d.preparation.espresso_milk	2	planned_real_sample
